,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
13,201408,3.5841784480000003,16.987756300000058,73.96391296,100.8741797,190.2476736111111,3.208539724,2892.5,2.780670404,1.883308768,0.576350868,0.4213297070000001,2.396135732379282,0.356459022,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,8,104.10188674938033,-9999.0
9,201404,3.781824112,10.158654800000024,74.05054474,101.2242188,186.1908680555556,2.084157944,2255.0,2.871234894,2.153762579,0.576350868,0.4213297070000001,2.5622828797464225,0.368685246,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,4,81.18062764612371,879.9288600000003
10,201405,3.887305498,12.86470950000006,73.99115753,101.2491797,209.3428240740741,2.199409485,3861.75,3.073611259,2.7618923189999998,0.576350868,0.4213297070000001,2.935145798549044,0.345537156,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,5,103.39462875796438,1043.3712400000004
1,201304,3.707095385,7.148919699999966,70.76043701,101.3675938,174.54991898148143,0.923704565,797.6666667000003,2.871234894,2.153762579,0.576350868,0.4213297070000001,2.5622828797464225,0.362809658,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,4,168.45438096682756,786.1296
11,201406,3.1706950660000004,16.086633300000017,70.092453,101.3498281,236.50451388888888,2.639523268,4492.75,3.088489532,2.818930864,0.576350868,0.4213297070000001,2.967752937559492,0.312039346,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,6,116.76653166908642,978.2117
6,201309,3.440110922,13.27929080000007,79.64640808,101.2134531,109.7910185185185,2.044651747,1736.5,2.751074076,1.7643883230000001,0.576350868,0.4213297070000001,2.3289731467987096,0.341947854,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,9,51.61602062006954,-9999.0
14,201409,3.459395409,15.614801000000002,79.88304901,101.5637031,132.16,2.434604168,1937.25,2.751074076,1.7643883230000001,0.576350868,0.4213297070000001,2.3289731467987096,0.362651438,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,9,60.224590091730306,-9999.0
5,201308,3.218728542,18.48793950000004,70.61412811,101.5324375,194.53083333333333,1.708618402,2816.0,2.780670404,1.883308768,0.576350868,0.4213297070000001,2.396135732379282,0.328856468,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,8,103.88301075132013,-9999.0
2,201305,3.399247885,13.434655800000026,72.27781677,100.797,204.5755092592593,3.396593809,3018.25,3.073611259,2.7618923189999998,0.576350868,0.4213297070000001,2.935145798549044,0.347458661,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,5,116.60605768422505,794.7226700000003
4,201307,3.143896818,19.29888310000007,70.44788361,101.6544766,240.10261574074082,2.886053085,3617.75,2.887926817,2.1954667569999997,0.576350868,0.4213297070000001,2.589474493153477,0.27825897899999996,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,7,130.01588080193358,1106.13162
0,201303,4.106341362,-1.7930663999999863,74.31420135,101.1668438,125.44613425925924,1.044260263,3.75,2.683264971,1.558353901,0.576350868,0.4213297070000001,2.2030828876204818,0.36850318299999996,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,3,199.1578220074062,923.7353
12,201407,3.501082659,20.372277800000006,71.93714142,101.15902340000001,245.7192129629629,2.717464447,3219.5,2.887926817,2.1954667569999997,0.576350868,0.4213297070000001,2.589474493153477,0.314008653,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,7,161.75643141089415,-9999.0
7,201310,4.299098015,11.355371100000012,80.93122864,101.2828594,73.20434027777776,1.637734532,932.0,2.75430727,1.7700300219999998,0.576350868,0.4213297070000001,2.333213616353674,0.357884407,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,10,15.817995557271194,-9999.0
3,201306,3.590393305,16.08388670000005,71.61603546,101.3782813,242.2992129629629,1.852128983,4548.75,3.088489532,2.818930864,0.576350868,0.4213297070000001,2.967752937559492,0.32264784,0.583291352,10,67,20,0,0,0,0,0,0,0,0,1,0,0,6,122.03604552520729,981.00088
