,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
39,200806,5.169775963,15.65264280000008,64.33191681,101.1394453,269.93754629629626,1.056415796,5497.75,3.365261316,2.520821571,0.63369602,0.135260105,2.4735192925888883,0.164453581,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,6,108.88857294050304,-9999.0
26,200506,4.881150723,14.727319300000033,73.43038940000002,101.3069766,252.4048842592593,1.943811655,6040.25,3.365261316,2.520821571,0.63369602,0.135260105,2.4735192925888883,0.260744154,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,6,83.1930997651202,-9999.0
23,200409,5.502562523,14.149682600000062,73.77567291,101.1193047,139.30636574074072,1.499159098,1125.75,1.747402668,2.421420813,0.63369602,0.135260105,1.4348437494645467,0.291687906,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,9,58.37314225666103,-9999.0
56,201303,5.13656044,-1.1745056000000318,68.18626404,101.3095703,123.03424768518518,0.614821315,190.25,1.3407119509999998,2.397048235,0.63369602,0.135260105,1.1738288232712997,0.317270905,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,3,12.054434210420249,-9999.0
38,200804,3.571512699,7.250726300000053,72.79437256,100.9999531,192.48351851851848,1.458491445,1537.75,1.859109879,2.428067446,0.63369602,0.135260105,1.5065311887580233,0.326664418,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,4,36.676831387311736,-9999.0
64,201404,4.757483959,8.881250000000025,70.75460815,101.2206406,177.8532291666667,1.5800017119999998,2101.666667,1.859109879,2.428067446,0.63369602,0.135260105,1.5065311887580233,0.31405589,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,4,47.41481158119701,-9999.0
55,201208,3.968660116,17.255944800000066,74.02880096,101.25678909999999,190.11809027777767,1.445954204,1848.0,1.907106638,2.431782007,0.63369602,0.135260105,1.5374489758201113,0.25105273699999997,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,8,91.32192930623884,-9999.0
11,200304,5.143589973,6.825189200000013,63.51779938,101.5385703,193.76388888888889,1.803670526,671.6666667000002,1.859109879,2.428067446,0.63369602,0.135260105,1.5065311887580233,0.270979941,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,4,26.965287483886595,-9999.0
18,200404,4.40125227,7.908288600000048,70.27002716,101.21410159999999,191.33159722222214,0.985429168,1660.75,1.859109879,2.428067446,0.63369602,0.135260105,1.5065311887580233,0.302264422,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,4,34.057198500205466,-9999.0
58,201306,4.793424129,15.038812300000016,75.29962158,101.2475625,249.4741203703704,2.529239416,5947.25,3.365261316,2.520821571,0.63369602,0.135260105,2.4735192925888883,0.277494103,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,6,97.72638611308138,-9999.0
65,201405,3.941520691,12.351037600000039,76.25733185,101.1772266,233.856574074074,1.820780396,5061.75,2.950339079,2.49593544,0.63369602,0.135260105,2.207218621700387,0.280285746,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,5,76.16615413988036,-9999.0
5,200204,3.976971388,7.29790650000001,72.77576447,101.4741797,156.02230324074068,1.354302883,698.3333332999997,1.859109879,2.428067446,0.63369602,0.135260105,1.5065311887580233,0.280656576,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,4,19.000867529003987,-9999.0
20,200406,5.3861022000000025,13.92720950000006,74.86863708,100.9873203,222.2403703703704,2.895323992,5645.0,3.365261316,2.520821571,0.63369602,0.135260105,2.4735192925888883,0.234283611,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,6,74.96801555296838,-9999.0
69,201409,4.545230865,14.937768600000027,81.28108215,101.5769141,130.7882523148148,1.389528513,1521.0,1.747402668,2.421420813,0.63369602,0.135260105,1.4348437494645467,0.265426189,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,9,46.97831328324517,-9999.0
0,200105,4.266937256,11.74297489999998,68.82672882,101.3764922,254.34194444444444,1.302461624,3399.75,2.950339079,2.49593544,0.63369602,0.135260105,2.207218621700387,0.263644725,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,5,51.871192400653456,-9999.0
28,200509,4.225235462,15.159082000000012,76.29328918,101.4975,135.74266203703698,0.7605361340000001,1127.0,1.747402668,2.421420813,0.63369602,0.135260105,1.4348437494645467,0.191431448,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,9,34.50944942295136,-9999.0
12,200305,4.293994427,11.97030030000002,73.3892746,101.2687344,223.4026388888889,2.7484278680000003,4281.75,2.950339079,2.49593544,0.63369602,0.135260105,2.207218621700387,0.327470928,28.49062538,13,58,27,0,0,0,0,0,0,0,0,1,0,0,5,60.35118560880814,-9999.0
