,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200107,3.11080575,18.97857060000007,70.1343689,99.80946094,222.290787037037,3.100251198,2763.25,2.720788717,4.529824257,0.194222763,0.805777252,4.178468444003366,0.388154089,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,7,139.15632634749338,-9999.0
22,200308,3.0435457230000003,15.447381600000027,74.09980774,99.45525,153.5458449074074,2.708987474,1839.0,2.469005346,4.224471568999999,0.194222763,0.805777252,3.8835201321828388,0.41345790000000004,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,8,41.92265330203247,-9999.0
13,200205,2.975217104,11.764367699999983,57.27214813,100.1773359,234.24317129629628,1.534791112,1109.75,2.237143517,3.9229693410000004,0.194222763,0.805777252,3.5955436503705087,0.384679586,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,5,65.49257758053572,-9999.0
11,200109,3.480508566,11.020288100000016,83.34751129,99.76397656,85.57858217592592,3.691300869,589.0,2.216806889,3.899381638,0.194222763,0.805777252,3.5725873797859133,0.457674772,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,9,25.917507231909948,-9999.0
5,200010,3.797326803,7.955865500000018,87.71997833,100.1484219,38.1928125,2.099807739,200.5,2.096954823,3.749242306,0.194222763,0.805777252,3.4283305220200586,0.44134613899999997,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,10,7.890481724339946,-9999.0
19,200305,3.475055695,9.528283700000033,71.59739685,99.81508594,192.24597222222215,3.166450024,651.0,2.237143517,3.9229693410000004,0.194222763,0.805777252,3.5955436503705087,0.463525772,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,5,45.058251112444715,-9999.0
23,200309,3.300630808,11.142297400000016,75.43024445,100.0840391,107.4029050925926,0.603028476,721.5,2.216806889,3.899381638,0.194222763,0.805777252,3.5725873797859133,0.38737765,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,9,34.10047150565645,-9999.0
21,200307,2.428411007,20.02492680000006,67.52168274,99.93898438,207.98557870370368,2.002334595,2831.75,2.720788717,4.529824257,0.194222763,0.805777252,4.178468444003366,0.366867483,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,7,128.32927060515706,-9999.0
6,200104,3.491985321,4.67684330000003,77.94925690000002,99.53817188,131.86035879629628,2.351331472,194.3333333,2.022544384,3.653921127,0.194222763,0.805777252,3.3370706832894164,0.48297447,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,4,50.25409336160432,-9999.0
12,200204,2.837765455,4.965844699999991,58.78222656,100.4962813,176.51702546296295,0.215757951,306.6666667,2.022544384,3.653921127,0.194222763,0.805777252,3.3370706832894164,0.428310961,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,4,26.837696577979738,1286.5131
4,200009,2.823979139,9.20757450000002,74.19905853,100.3877656,116.20761574074074,0.693019807,732.5,2.216806889,3.899381638,0.194222763,0.805777252,3.5725873797859133,0.423152983,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,9,21.044565239747296,-9999.0
24,200311,3.166069984,1.7455383000000209,93.98365784,100.2583984,10.476087239583332,1.449066758,158.75,1.923830986,3.5313408369999997,0.194222763,0.805777252,3.219125885159173,0.469228655,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,11,21.605045172863704,396.71847099999985
0,200005,3.906746387,10.33501590000003,57.44982147,99.91649219,226.05754629629627,1.348043203,983.0,2.237143517,3.9229693410000004,0.194222763,0.805777252,3.5955436503705087,0.354701638,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,5,34.663123239068824,2752.26776
1,200006,3.779658079,13.586602800000035,66.62718201,99.59726563,221.6490509259259,2.422005177,2144.0,2.601543665,4.378864765,0.194222763,0.805777252,4.033668615902773,0.388371646,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,6,38.13873819704323,2769.144200000001
20,200306,2.94516921,13.080224600000065,66.43629456,99.58842188,210.3118981481481,1.7872310880000002,1996.75,2.601543665,4.378864765,0.194222763,0.805777252,4.033668615902773,0.420871735,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,6,86.51642942336845,-9999.0
14,200206,3.0356807710000004,15.79766239999998,68.12548828,99.59773438,216.8126388888889,4.010269642,2499.75,2.601543665,4.378864765,0.194222763,0.805777252,4.033668615902773,0.376338661,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,6,71.27072619410359,-9999.0
17,200209,3.083209515,10.475213600000076,71.80895996,100.05014840000001,120.63787037037035,0.35068947100000003,660.5,2.216806889,3.899381638,0.194222763,0.805777252,3.5725873797859133,0.291431129,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,9,36.01455770143115,-9999.0
18,200304,3.758277893,2.2056213000000184,62.03951263,100.4177813,154.77302083333333,0.971861899,284.6666667,2.022544384,3.653921127,0.194222763,0.805777252,3.3370706832894164,0.459216684,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,4,19.96926389363208,-9999.0
2,200007,3.118196249,15.811181600000054,80.94619751,99.25064844,180.12646990740745,4.490507126000001,2449.0,2.720788717,4.529824257,0.194222763,0.805777252,4.178468444003366,0.462845206,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,7,70.2824906960636,-9999.0
10,200108,3.102703333,15.37648930000006,72.99424744,99.83824219,164.37534722222222,2.15515399,1678.75,2.469005346,4.224471568999999,0.194222763,0.805777252,3.8835201321828388,0.412136823,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,8,73.11307432803018,-9999.0
16,200208,2.197810411,18.801416000000017,65.67887878,100.2934375,197.49995370370368,0.473246872,1883.75,2.469005346,4.224471568999999,0.194222763,0.805777252,3.8835201321828388,0.321209639,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,8,81.9199577904545,-9999.0
15,200207,2.957593679,18.043145800000048,74.11278534,99.8625625,208.25349537037042,3.873851538,2643.25,2.720788717,4.529824257,0.194222763,0.805777252,4.178468444003366,0.43759167200000004,116.543335,19,60,20,0,0,0,0,0,0,1,0,0,0,0,7,69.00426629970896,-9999.0
