,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,201003,3.194112778,-3.4734862999999905,85.62861633,99.32891406,96.10532986111107,1.412771583,172.75,1.950902462,3.10452652,0.301741093,0.6873483659999999,2.7225586719459374,0.41986075,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,3,7.162333917715232,-9999.0
23,201205,3.446974516,10.25576170000005,61.79748535,100.1389531,218.41291666666663,1.296057224,924.0,2.262456894,3.674665451,0.301741093,0.6873483659999999,3.2084515094024484,0.390987456,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,5,43.157778036921655,2533.2122
21,201109,3.439448595,12.057092300000026,88.95761871,99.46191406,82.23141782407406,2.658622503,453.5,2.260048866,3.6776206489999996,0.301741093,0.6873483659999999,3.2097561589182595,0.444971412,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,9,27.684395340981325,-9999.0
12,201006,3.191521406,13.699060100000056,66.40274811,99.84577344,242.87578703703704,1.64946425,1726.25,2.550517321,4.194952488,0.301741093,0.6873483659999999,3.6529896222284064,0.390230507,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,6,67.80502959436978,2393.279512
5,200906,3.016756296,13.606225600000016,68.5801239,99.98242969,209.6448148148148,2.403339386,1469.75,2.550517321,4.194952488,0.301741093,0.6873483659999999,3.6529896222284064,0.381611794,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,6,47.10290728623893,-9999.0
11,201005,2.938639879,10.701654100000043,75.70027924,99.86229688,183.1226967592593,3.656638622,752.0,2.262456894,3.674665451,0.301741093,0.6873483659999999,3.2084515094024484,0.438719332,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,5,38.366081468530105,-9999.0
25,201207,3.252107859,16.92006839999999,78.61539459,99.68357031,200.65486111111113,3.249900579,1751.0,2.653095245,4.374509335,0.301741093,0.6873483659999999,3.807359702523399,0.419652581,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,7,64.7556820682495,1692.9338099999998
22,201203,3.703808546,-1.1330626999999822,81.98397064,99.95758594,96.5822337962963,1.238477111,174.0,1.951150298,3.1048941610000003,0.301741093,0.6873483659999999,2.7228861516920864,0.444017619,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,3,3.6848282417580633,-9999.0
6,200907,3.060332537,16.405816700000006,75.63145447,99.65101563,201.90571759259254,2.848250389,1804.0,2.653095245,4.374509335,0.301741093,0.6873483659999999,3.807359702523399,0.358700335,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,7,51.18251288454857,-9999.0
13,201007,3.168154478,21.18346560000009,68.50920868,100.1204063,239.9758101851852,1.579134703,1867.5,2.653095245,4.374509335,0.301741093,0.6873483659999999,3.807359702523399,0.326402038,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,7,94.12610059325243,-9999.0
20,201108,2.654398441,15.929620400000033,80.98291779,99.868875,156.89775462962965,2.751842737,1275.25,2.47850585,4.077643871,0.301741093,0.6873483659999999,3.5506289160476587,0.41458064299999997,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,8,65.50099099034034,-9999.0
4,200905,3.301765442,10.730249000000073,62.37167358,100.1958594,233.42416666666668,1.379057765,690.5,2.262456894,3.674665451,0.301741093,0.6873483659999999,3.2084515094024484,0.36531347,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,5,52.02022909059785,-9999.0
26,201208,2.753897667,14.92687380000001,79.40696716,100.0550313,149.85358796296296,1.677632451,1239.5,2.47850585,4.077643871,0.301741093,0.6873483659999999,3.5506289160476587,0.377154827,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,8,51.04089746122017,1261.61783
0,200901,3.3934485910000003,-4.966925000000003,89.36613464,99.7355625,11.528501157407408,0.890232563,157.75,1.883529067,2.975852966,0.301741093,0.6873483659999999,2.613785793010204,0.438903421,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,1,16.566088370879513,-9999.0
1,200902,2.939851284,-5.822241199999951,91.96307373,99.86579688,35.70997106481481,0.844498396,132.0,1.880854011,2.9719059469999998,0.301741093,0.6873483659999999,2.6102656416287062,0.429352701,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,2,34.10815833536895,-9999.0
17,201104,2.987661839,4.3820740000000455,72.32402039,100.0412031,154.5533333333333,1.046444416,311.0,2.100850105,3.375356674,0.301741093,0.6873483659999999,2.95395870145296,0.452772766,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,4,18.934656085275453,-9999.0
14,201008,2.908225536,16.922235100000027,77.81996918,99.75505469,161.7083796296296,2.823778152,1237.0,2.47850585,4.077643871,0.301741093,0.6873483659999999,3.5506289160476587,0.38377085299999997,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,8,62.15033261598728,-9999.0
18,201105,3.588059425,9.724755899999991,65.12425232,100.2529688,211.18067129629623,1.6711472269999998,867.25,2.262456894,3.674665451,0.301741093,0.6873483659999999,3.2084515094024484,0.38599082799999995,125.2515869,7,77,17,0,1,0,0,0,0,0,0,0,0,0,5,24.054757534261146,-9999.0
