,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200906,3.089602232,8.874658199999997,67.83086395,97.40938281,218.6059259259259,2.282975674,614.25,1.161228061,4.453364849,0.406680614,0.593319416,3.1145167722851177,0.653104603,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,6,55.42750267135126,1284.4029
6,200807,2.980721951,12.052301,75.52366638,97.17658594,175.57903935185183,3.049108267,862.25,1.307851434,4.676431179,0.406680614,0.593319416,3.306495240288372,0.667281687,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,7,53.97292290119694,1037.25794
1,200705,3.364474297,3.0450378000000446,75.0704422,96.48435938,181.4758101851852,2.444234133,-1.5,0.995982468,4.1991796489999995,0.406680614,0.593319416,2.89650157864324,0.7233555909999999,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,5,33.81985040143385,-9999.0
5,200806,2.769293785,8.534020999999996,75.06780243,96.82466406,178.20368055555556,3.441068649,461.25,1.161228061,4.453364849,0.406680614,0.593319416,3.1145167722851177,0.6805436020000001,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,6,46.37874713953629,1185.101
4,200708,2.762492657,11.481927500000038,79.66705322,96.78629688,131.81554398148143,3.155849934,496.25,1.232409358,4.560614586,0.406680614,0.593319416,3.207098177177388,0.678590238,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,8,31.780940082514,-9999.0
2,200706,2.684570074,10.417199700000024,67.00530243,97.07142969,229.44578703703704,2.148044109,543.5,1.161228061,4.453364849,0.406680614,0.593319416,3.1145167722851177,0.6181141729999999,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,6,60.538843543211286,1304.4917000000005
0,200704,3.80503583,-1.884130899999945,74.77082825,96.35407031,151.46456018518518,1.282781959,-153.66666669999995,0.887924552,4.033539295,0.406680614,0.593319416,2.7542788809154866,0.646577537,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,4,13.980415573138574,-9999.0
10,200907,3.093675852,11.843469200000017,72.46543884,97.03620313,168.80888888888887,1.3645910019999998,936.25,1.307851434,4.676431179,0.406680614,0.593319416,3.306495240288372,0.58948952,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,7,66.8596932322062,848.4855699999997
7,200808,2.593490601,8.856713900000045,78.38957214,96.82980469,106.44481481481479,1.680130959,513.75,1.232409358,4.560614586,0.406680614,0.593319416,3.207098177177388,0.660977781,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,8,30.59117278987156,611.1700999999998
3,200707,2.929911852,12.707391400000004,76.59698486,96.68821094,163.24680555555554,2.539748907,879.75,1.307851434,4.676431179,0.406680614,0.593319416,3.306495240288372,0.640590906,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,7,46.69098208988472,906.3239000000003
11,200908,2.780579805,12.559075899999984,79.0656662,97.10124219,133.51072916666666,3.01870656,571.75,1.232409358,4.560614586,0.406680614,0.593319416,3.207098177177388,0.614074945,258.7547607,14,63,21,0,1,0,0,0,0,0,0,0,0,0,8,51.93101237462598,586.5072499999999
