,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200209,3.022157907,5.461541699999998,82.69463348,98.69200781,68.3549537037037,2.648401737,254.5,0.0,2.006329775,0.066821299,0.931484878,1.8688658456936431,0.26719141,176.95065309999995,11,65,21,0,1,0,0,0,0,0,0,0,0,0,9,38.93658201045768,-9999.0
28,200506,2.88882947,12.622583000000017,61.96032715,98.72725,212.15951388888885,1.80756712,1301.5,4.44e-16,2.290360928,0.066821299,0.931484878,2.1334365695940467,0.22969181800000002,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,6,66.15954464566849,2146.96576
52,200906,3.070089817,10.618890399999998,63.32849503,99.01335938,217.39256944444443,2.038904905,1356.5,4.44e-16,2.290360928,0.066821299,0.931484878,2.1334365695940467,0.239057735,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,6,41.75856882702199,-9999.0
18,200403,3.082976818,-5.595251500000019,83.33713531,99.12578906,64.57774884259258,0.83206147,131.25,4.44e-16,1.0586469170000001,0.066821299,0.931484878,0.9861135943268212,0.216664702,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,3,8.393495241236844,-9999.0
46,200806,2.617111921,10.22600710000006,71.08691406,98.43428125,189.863125,3.70603013,922.0,4.44e-16,2.290360928,0.066821299,0.931484878,2.1334365695940467,0.261728793,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,6,47.15481708056326,-9999.0
12,200304,2.950316668,-1.8552306999999928,71.61366272,99.55935156,154.25821759259262,1.017119765,-4.666666667,0.0,1.187838435,0.066821299,0.931484878,1.106453539709686,0.266759276,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,4,17.084916349869392,-9999.0
5,200109,3.097550392,8.145135500000038,83.98735809,98.95290625,58.58828125,2.257833481,285.25,0.0,2.006329775,0.066821299,0.931484878,1.8688658456936431,0.256540388,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,9,32.598002116768306,-9999.0
53,200907,2.76342845,13.195733600000038,70.72337341,98.629875,177.80934027777778,1.768487334,1683.0,4.44e-16,2.6937100889999996,0.066821299,0.931484878,2.509150213619534,0.21386385,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,7,43.661346142716205,-9999.0
60,201008,2.8846600060000003,11.120080600000053,76.55619049,98.76035938,120.70350694444444,2.7084143160000003,782.0,0.0,2.401022196,0.066821299,0.931484878,2.2365158673163523,0.2502909,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,8,37.48736577337983,1119.1882099999998
33,200605,3.088644505,6.248559600000077,66.51708221,98.84625,180.95616898148143,2.023467541,305.5,-4.44e-16,1.6360152959999998,0.066821299,0.931484878,1.5239235084006937,0.284154117,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,5,34.20709561173786,-9999.0
25,200503,2.842711449,-9.524603300000024,82.79567719,98.76489063,76.28634837962962,0.461206257,90.25,4.44e-16,1.0585992340000001,0.066821299,0.931484878,0.9860691783333836,0.201862767,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,3,6.649840569822854,-9999.0
6,200204,3.067302704,0.8622375000000488,76.68238068,99.32352344,144.71158564814812,1.119703531,45.66666667,0.0,1.187838435,0.066821299,0.931484878,1.106453539709686,0.2693443,176.95065309999995,11,65,21,0,1,0,0,0,0,0,0,0,0,0,4,32.83245764063279,-9999.0
21,200406,2.753144264,10.322778300000039,67.45735168,98.32548438,208.02256944444446,2.5909650330000003,973.25,4.44e-16,2.290360928,0.066821299,0.931484878,2.1334365695940467,0.2449508460000001,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,6,62.252052344044046,-9999.0
0,200104,2.927442074,-1.2728942999999615,75.38402557,98.42817188,133.52226851851853,2.407173634,-16.33333333,0.0,1.187838435,0.066821299,0.931484878,1.106453539709686,0.240187719,176.95065309999995,11,65,21,0,0,1,0,0,0,0,0,0,0,0,4,23.423069910216004,-9999.0
