,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200412,3.304154158,3.309899900000005,90.72958374,100.7131953,32.83489872685185,1.755096436,116.25,1.754889011,2.4280915259999998,0.7721300720000001,0.226313457,1.9045123655769045,0.34620729100000003,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,12,11.218085585378661,-9999.0
108,201308,2.8549492360000004,18.765100100000037,66.9682312,100.5419531,207.7957638888889,1.828104615,1747.25,2.103638411,2.4421825409999998,0.7721300720000001,0.226313457,2.1769812512261497,0.234998882,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,8,56.88780825471817,1521.628607
121,201409,2.523612738,16.585412600000037,76.68143463,100.5367344,159.97929398148148,0.787434697,1222.75,1.916469455,2.4348001480000003,0.7721300720000001,0.226313457,2.0307917368729425,0.287679225,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,9,19.46542188258119,863.8153
70,201003,4.300525188,6.1519409000000005,70.14979553,100.4569063,133.1592476851852,1.204515338,792.75,1.737938285,2.427501678,0.7721300720000001,0.226313457,1.8912907097500875,0.356737465,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,3,35.95470675904343,-9999.0
85,201107,3.420690298,16.568902600000058,68.44922638,100.1346719,218.54486111111112,2.416009426,1830.25,2.369024992,2.459690094,0.7721300720000001,0.226313457,2.3858564059645544,0.267528176,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,7,77.50938351184206,734.43737
29,200606,2.658034086,17.836785899999995,66.83763885,100.7313828,258.80247685185185,1.047426462,4004.0,2.857872963,2.489607811,0.7721300720000001,0.226313457,2.7700814069696564,0.221744716,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,6,109.62541731271929,-9999.0
33,200610,4.054976463,14.457788100000016,83.15496063,99.9985,78.47188078703705,2.244718075,890.3333332999997,1.667257309,2.421190739,0.7721300720000001,0.226313457,1.8352875522401708,0.32824203399999996,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,10,31.02971761785141,-9999.0
105,201304,3.768121719,8.701715100000058,69.56343842,100.2209375,176.9883101851852,1.95046103,1921.0,2.346814394,2.460651875,0.7721300720000001,0.226313457,2.3689245993146386,0.350362241,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,4,58.58785046232625,-9999.0
26,200603,4.479870796,5.160607900000001,78.21194458,99.80371094,124.803125,2.85136199,678.0,1.737938285,2.427501678,0.7721300720000001,0.226313457,1.8912907097500875,0.383624405,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,3,36.77853456101368,-9999.0
72,201005,3.540819168,11.914178500000048,69.41631317,100.33989840000001,217.423912037037,1.515250444,3899.5,2.893283367,2.492658615,0.7721300720000001,0.226313457,2.7981132827595943,0.243695617,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,5,81.4365440672737,-9999.0
35,200612,4.453248978,5.119561800000041,89.40106201,101.0772578,33.26122395833333,2.140821457,253.75,1.754889011,2.4280915259999998,0.7721300720000001,0.226313457,1.9045123655769045,0.371705025,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,12,16.326012030907716,-9999.0
25,200602,3.672673941,2.88320310000006,85.57302094,100.2334297,62.107361111111096,2.178788662,207.0,1.410066962,2.407465935,0.7721300720000001,0.226313457,1.6335970432534686,0.36728081100000004,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,2,12.089168750118294,-9999.0
21,200510,3.706478357,15.093682900000033,80.32270813,100.3614688,91.32752314814816,1.993666172,724.6666667000003,1.667257309,2.421190739,0.7721300720000001,0.226313457,1.8352875522401708,0.284185082,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,10,24.049791462790665,-9999.0
102,201212,4.925514221,5.74367680000006,86.25882721,99.93923438,30.83905671296296,3.2341668610000003,196.5,1.754889011,2.4280915259999998,0.7721300720000001,0.226313457,1.9045123655769045,0.389787406,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,12,7.886616334155001,-9999.0
82,201104,2.837839842,13.272912600000039,62.58495331,100.6127656,211.4411805555556,0.426572859,3621.666667,2.346814394,2.460651875,0.7721300720000001,0.226313457,2.3689245993146386,0.254990578,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,4,42.326937045436225,-9999.0
112,201312,4.267254353,5.065454100000069,83.07676697,100.6732031,37.56097800925926,1.938747883,237.5,1.754889011,2.4280915259999998,0.7721300720000001,0.226313457,1.9045123655769045,0.36331692299999996,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,12,9.516522257137533,-9999.0
36,200701,5.046685696,7.133905000000027,84.48898315,100.8441875,37.819395254629626,1.642469645,400.25,1.525637507,2.414619923,0.7721300720000001,0.226313457,1.7244515802410143,0.37926998700000003,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,1,19.952932923695677,-9999.0
28,200605,4.028207779,13.727716100000064,76.46079254,100.3196953,200.0515046296296,2.382622004,4567.25,2.893283367,2.492658615,0.7721300720000001,0.226313457,2.7981132827595943,0.336365879,62.84500504,19,39,40,0,0,0,0,0,0,0,0,0,0,0,5,116.33661102585276,-9999.0
