,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
78,200707,3.448954344,19.5005127,74.45633698,101.3099219,233.61796296296296,1.758032441,4463.25,1.468542457,3.75170517,0.11188256,0.525902987,2.137337244804193,0.172475725,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,7,105.97637767440528,-9999.0
63,200601,2.839580059,5.32378540000002,82.07630157,101.7240547,61.17531249999999,1.536410928,293.25,1.426862478,2.0362532140000003,0.11188256,0.525902987,1.2305126743375343,0.248835891,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,1,10.676458718747947,-9999.0
26,200209,3.156275511,18.059777800000006,68.53761292,101.1829688,196.2808101851852,1.675750494,2075.0,1.456331491,3.139328957,0.11188256,0.525902987,1.813920571083592,0.201990098,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,9,59.8059716418996,-9999.0
29,200302,3.418637991,5.8117615000000455,72.17502594,101.4715469,97.00131944444445,2.104300261,405.25,1.429102302,2.090915203,0.11188256,0.525902987,1.2595101748710646,0.249089509,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,2,25.92992162756199,-9999.0
43,200404,3.813467026,11.419458000000017,71.90323639,100.98764840000001,196.9698842592593,2.3204221730000003,957.25,1.438094974,2.419442177,0.11188256,0.525902987,1.4332896149723362,0.225741059,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,4,72.05751867406238,-9999.0
57,200506,3.13015151,22.217156999999986,66.96112061,101.3104922,286.5136574074074,1.4293094869999998,3543.25,1.467385888,3.668449163,0.11188256,0.525902987,2.0934232621366635,0.102386571,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,6,64.34122660207537,3225.1427000000012
35,200308,2.514141321,25.44048460000005,65.88191223,101.156375,249.0016898148148,1.67658937,2467.25,1.4617098569999998,3.41011548,0.11188256,0.525902987,1.9569297577253328,0.11990174699999999,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,8,65.40719820816942,2810.8974500000004
44,200405,3.41441226,15.583917199999973,68.33436584,101.0930859,258.61631944444446,2.49522543,2177.666667,1.4510614869999998,3.0342972280000002,0.11188256,0.525902987,1.7580944495339872,0.20742523699999998,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,5,94.30540475907549,2321.9077
22,200204,3.349472523,12.719445800000017,68.78926849,101.0263516,209.38053240740737,1.516717792,969.6666667000003,1.438094974,2.419442177,0.11188256,0.525902987,1.4332896149723362,0.19559145,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,4,47.319464580435046,-9999.0
68,200606,3.003665924,21.267266800000016,60.50553513,101.3822344,276.78037037037035,1.4371000530000002,3238.25,1.467385888,3.668449163,0.11188256,0.525902987,2.0934232621366635,0.137679473,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,6,100.56745493697343,2410.6619999999994
5,200008,2.737478018,21.755944800000066,69.32987976,101.3059453,228.6874305555556,2.452556372,2947.75,1.4617098569999998,3.41011548,0.11188256,0.525902987,1.9569297577253328,0.13519635800000002,44.11291122,9,71,18,0,1,0,0,0,0,0,0,0,0,0,8,79.09016049737177,1733.1847
