,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
33,200607,2.20275259,24.69637450000005,61.05612564,96.74157813,287.3142361111111,1.00267899,1958.25,2.9616642000000004,4.3928074839999995,0.248790681,0.7512093190000001,4.036752371765064,0.155057505,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,7,35.92259479772118,3971.844499999999
32,200606,2.666857719,19.737542700000006,57.03530121,96.79546094,320.42983796296295,0.302589208,2273.75,2.9769344330000003,4.4941492080000005,0.248790681,0.7512093190000001,4.1166803109044885,0.147032946,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,6,49.28669321689085,3821.1990000000014
86,201212,3.609735727,4.9717346000000475,83.1529541,96.58277344,59.417806712962964,2.120265961,444.25,2.7721951010000003,3.2584552760000003,0.248790681,0.7512093190000001,3.1374782759185718,0.39322263,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,12,3.455881367313866,-9999.0
29,200603,3.5902605060000004,7.048150600000043,75.77730559999998,96.12547656,152.01540509259257,2.093791962,953.5,2.799663067,3.4078841210000004,0.248790681,0.7512093190000001,3.256564390776804,0.372072309,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,3,31.43960821327056,-9999.0
62,200907,3.182918787,21.520105,61.1054039,96.65392969,293.8189351851851,0.6806058290000001,2882.75,2.9616642000000004,4.3928074839999995,0.248790681,0.7512093190000001,4.036752371765064,0.15586412,217.1873474,37,23,36,0,0,0,0,0,0,1,0,0,0,0,7,76.61529521536332,3436.9894000000013
76,201109,2.557444572,18.64547120000003,68.85722351,96.76567188,192.05410879629628,1.6516557930000002,1676.0,2.900795698,4.015892506,0.248790681,0.7512093190000001,3.738466811756754,0.269053549,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,9,45.12398338412177,-9999.0
51,200806,2.931891203,18.173272700000037,70.21729279,96.58121094,272.5050925925926,1.951729059,2927.25,2.9769344330000003,4.4941492080000005,0.248790681,0.7512093190000001,4.1166803109044885,0.331018806,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,6,121.00082363792198,-9999.0
21,200505,3.098980188,15.432336399999995,62.78772354,96.6053125,285.9287268518518,1.564652085,2233.0,2.94527626,4.290298462,0.248790681,0.7512093190000001,3.955669472404301,0.272851974,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,5,69.10384987642101,-9999.0
91,201306,3.648586512,16.862664800000005,68.59487152,96.67061719,293.57666666666665,1.693565011,3130.0,2.9769344330000003,4.4941492080000005,0.248790681,0.7512093190000001,4.1166803109044885,0.306125909,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,6,89.82550742829612,-9999.0
68,201007,2.975171328,22.95299680000005,60.9914093,96.66011719,297.4831944444444,0.209693313,2538.0,2.9616642000000004,4.3928074839999995,0.248790681,0.7512093190000001,4.036752371765064,0.15538354199999999,217.1873474,37,23,36,0,0,0,0,0,0,1,0,0,0,0,7,52.623561683902565,3641.7674400000014
22,200506,2.663715601,20.81194460000006,62.36943817,96.68826563,300.10949074074074,1.456199884,2368.0,2.9769344330000003,4.4941492080000005,0.248790681,0.7512093190000001,4.1166803109044885,0.20427267300000002,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,6,75.96580734899136,3077.5159999999987
64,200909,2.2408068180000003,18.126062000000047,65.77306366,96.76655469,192.4192013888889,1.751881599,1616.0,2.900795698,4.015892506,0.248790681,0.7512093190000001,3.738466811756754,0.19578379399999998,217.1873474,37,23,36,0,0,0,0,0,0,1,0,0,0,0,9,27.497838315011354,1922.9790000000007
77,201112,4.0071969030000005,6.265863000000024,83.99761963,96.98896094,62.38197916666666,0.806412995,525.75,2.7721951010000003,3.2584552760000003,0.248790681,0.7512093190000001,3.1374782759185718,0.375809282,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,12,9.33570818412826,-9999.0
26,200511,2.945244551,6.854180900000018,76.78688049,96.5445,84.31192708333333,4.739483356,592.25,2.79567647,3.378795624,0.248790681,0.7512093190000001,3.2337210125721967,0.396639436,217.1873474,37,23,36,0,1,0,0,0,0,0,0,0,0,0,11,25.06658906041584,-9999.0
