,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201107,2.36627388,21.33492430000007,72.69486237,97.16692188,274.53509259259255,3.813719988,4105.5,2.386351347,3.457940102,0.506660759,0.385591984,2.5424245691950347,0.247448429,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,45.68445833227491,3394.994000000001
17,201207,2.7052755360000003,24.58983760000007,58.63786697,97.34132813,304.47828703703703,0.765189826,3406.75,2.386351347,3.457940102,0.506660759,0.385591984,2.5424245691950347,0.152742729,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,63.70811997104713,2763.23606
20,201210,2.190503597,15.544702100000052,84.41440582,97.22770313,127.56326388888887,5.991567135,1934.25,2.313346624,3.256583452,0.506660759,0.385591984,2.4277944306641763,0.3666180670000001,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,46.14293744534324,-9999.0
43,201409,2.483780384,19.10927730000003,78.10170746,97.425875,185.6971875,3.0439305310000004,2730.5,2.340599537,3.334219933,0.506660759,0.385591984,2.4715384169892856,0.287493885,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,9,41.6504242930904,-9999.0
40,201406,2.305066347,20.300531000000035,68.91178131,97.3930625,288.62,4.420333385,4720.5,2.468507767,3.6547455789999996,0.506660759,0.385591984,2.6599366176474537,0.277805686,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,65.64648721623807,2651.3556
46,201412,3.0009639260000003,7.189630100000045,82.93717194,97.53664844,68.44166087962962,3.5604288580000003,410.0,2.230250835,3.0038006310000003,0.506660759,0.385591984,2.288222025669226,0.383755863,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,12,38.44594847667463,-9999.0
5,201106,2.160477638,20.6171814,68.67021179,97.45055469,289.12490740740736,2.76077342,4418.0,2.468507767,3.6547455789999996,0.506660759,0.385591984,2.6599366176474537,0.24632020300000002,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,44.43932677502093,4295.893
29,201307,2.082707644,23.31411130000004,65.55457306,97.59596875,292.6874305555555,2.0228867530000003,3838.0,2.386351347,3.457940102,0.506660759,0.385591984,2.5424245691950347,0.231076285,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,38.68041465478749,3289.084900000001
27,201305,2.512473583,14.555932600000062,79.35558319,97.03614063,242.5390046296296,4.401774406,4416.5,2.56300354,3.874556065,0.506660759,0.385591984,2.792571079118669,0.364515543,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,5,106.42149582617432,-9999.0
33,201311,3.730529308,10.060388199999975,86.30488586,97.02280469,82.27351273148146,5.294937134,965.25,2.268908978,3.1321542260000004,0.506660759,0.385591984,2.3573007070927186,0.390807509,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,11,45.31144802163769,-9999.0
0,201101,2.7922225,4.950555399999985,86.39958954,97.58875781,74.88907407407406,2.483922482,314.0,2.225209951,2.986744404,0.506660759,0.385591984,2.2790912631472704,0.38160333,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,1,54.36242818536487,5580.744000000002
42,201408,2.41222167,22.246759,72.71192932,97.32325,258.2234490740741,0.485034347,3860.0,2.360715628,3.389092684,0.506660759,0.385591984,2.5028889438490864,0.21604459,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,48.147113339198704,2784.539
32,201310,2.236493587,16.121362300000044,85.94750214,97.75050781,119.52909722222222,4.319056511,1879.666667,2.313346624,3.256583452,0.506660759,0.385591984,2.4277944306641763,0.376344264,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,56.50357455766129,-9999.0
35,201401,2.789489269,7.0364928999999865,90.36869812,97.0960625,62.3937037037037,6.563189507000001,443.25,2.225209951,2.986744404,0.506660759,0.385591984,2.2790912631472704,0.396860331,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,1,22.655952342917885,-9999.0
21,201211,3.182612658,11.519586199999992,87.66836548,97.30821094,77.7187037037037,8.475568771,1105.666667,2.268908978,3.1321542260000004,0.506660759,0.385591984,2.3573007070927186,0.387952805,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,11,34.24445856713494,-9999.0
7,201108,1.998277307,23.746026600000054,62.56489563,97.44999219,276.35187499999995,0.214758143,3089.25,2.360715628,3.389092684,0.506660759,0.385591984,2.5028889438490864,0.177872002,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,29.44116617391559,2946.4545
44,201410,2.948812008,16.06447750000001,80.05297852,97.63716406,137.76416666666665,2.587210417,1906.0,2.313346624,3.256583452,0.506660759,0.385591984,2.4277944306641763,0.328154534,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,40.28754624034257,-9999.0
