,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
10,201407,1.215960264,19.748284899999987,71.04011536,95.61132813,227.8868055555556,8.697673798,3153.5,3.181667328,3.9351291660000003,0.100285351,0.653228164,2.889611824962743,0.360075682,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,7,139.60953617662383,-9999
6,201403,1.3669120069999998,8.058435100000054,65.013237,95.75348438,160.44119212962963,4.136272907,605.5,2.908362627,1.748873949,0.100285351,0.653228164,1.4340798856566763,0.37086308,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,3,33.52205821334305,-9999
1,201305,1.35672915,12.597650100000068,66.97408295,95.29735938,215.1995138888889,11.671175,2617.75,3.112023354,3.386510372,0.100285351,0.653228164,2.524254307044604,0.37126433799999997,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,5,91.05383485766649,-9999
5,201401,1.196435928,3.4909301999999798,79.3240509,95.40990625,52.06625,6.4111833570000005,108.25,2.8827023510000003,1.535140634,0.100285351,0.653228164,1.2918899149281762,0.37271577100000003,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,1,4.9021929891674025,-9999
4,201308,1.145135045,20.993066400000032,68.19174957,95.93911719,227.6384259259259,4.8869524,2911.5,3.153283596,3.7218058110000003,0.100285351,0.653228164,2.747416528911464,0.32773923899999996,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,8,159.95476996123986,-9999
2,201306,1.3924835919999998,18.06627810000009,63.32282639,95.84770313,265.63254629629625,4.61628294,3253.0,3.158680677,3.766985178,0.100285351,0.653228164,2.7774702120300154,0.348284125,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,6,153.3416247665976,-9999
0,201301,1.553769112,2.6664368000000422,66.10965729,95.40398438,66.05497685185185,1.259946704,77.75,2.8827023510000003,1.535140634,0.100285351,0.653228164,1.2918899149281762,0.345464438,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,1,6.331286833441434,-9999
11,201408,1.180622578,18.704827899999998,73.45378113,95.65064063,189.6367476851852,12.66490746,2836.0,3.153283596,3.7218058110000003,0.100285351,0.653228164,2.747416528911464,0.372104615,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,8,123.21609704751472,-9999
9,201406,1.239084721,18.97753300000005,69.56312561,95.79275781,253.52085648148147,7.750319004,3138.25,3.158680677,3.766985178,0.100285351,0.653228164,2.7774702120300154,0.34458914399999996,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,6,158.8349678846668,-9999
7,201404,1.283977747,12.009332300000038,65.52680206,95.48982813,203.65400462962958,3.903795242,1950.333333,2.982763767,2.332657099,0.100285351,0.653228164,1.8228848253450127,0.34483218200000004,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,4,54.25199717931772,-9999
3,201307,1.09981823,21.891778600000066,68.55491638,96.06434375,251.0759953703704,4.124833584,3218.75,3.181667328,3.9351291660000003,0.100285351,0.653228164,2.889611824962743,0.315813988,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,7,183.06836776666918,-9999
12,201409,1.20533216,17.16216430000003,75.36724854,95.9250625,170.75385416666666,2.136269569,1787.5,3.0888824460000004,3.1878287789999997,0.100285351,0.653228164,2.3921492007473804,0.334699035,235.6193237,19,39,40,0,0,0,0,1,0,0,0,0,0,0,9,91.87160676936706,-9999
