,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200208,1.85278976,22.242974899999986,75.22919464,100.2315938,212.9212037037037,4.399511337,2581.75,2.187613249,0.0,0.8816931840000001,0.096012697,1.9288036908713948,0.342420399,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,8,112.94994794043154,-9999.0
19,200408,2.004401922,24.613122600000054,60.22062683,100.2576094,228.3348611111111,1.6094727519999998,2384.5,2.187613249,0.0,0.8816931840000001,0.096012697,1.9288036908713948,0.208383918,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,8,162.54179919928825,-9999.0
11,200303,1.959687829,9.846215800000039,57.24309921,101.1868438,182.04726851851848,0.257651836,326.25,1.087414265,0.0,0.8816931840000001,0.096012697,0.9587657456348699,0.316789418,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,3,16.567984513444127,1467.46752
20,200409,2.173896074,20.67891850000001,59.48291779,100.7958672,175.99703703703705,1.637582302,1062.5,1.528916359,0.0,0.8816931840000001,0.096012697,1.3480351326363968,0.21425239699999998,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,9,50.82733687424118,-9999.0
17,200406,2.182964802,22.521569800000066,55.39192963,100.4415469,274.92319444444445,1.427238941,2291.75,2.084812403,-4.44e-16,0.8816931840000001,0.096012697,1.838164885643761,0.249196798,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,6,187.74983829552968,-9999.0
12,200305,2.272647381,20.328393600000027,50.27247620000001,100.6292734,264.0058564814815,1.107888937,1463.5,1.640711188,4.44e-16,0.8816931840000001,0.096012697,1.4466038713721427,0.25636658100000004,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,5,124.7047330668933,-9999.0
9,200212,1.561434388,5.1915222000000085,86.53053284,100.7114063,35.18901909722222,2.72459197,128.75,0.879422963,0.0,0.8816931840000001,0.096012697,0.7753812323301843,0.415907115,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,12,2.295178362290912,-9999.0
21,200410,1.6667281390000002,15.66753540000002,79.8992157,100.46957030000002,75.26774884259258,3.249481678,445.5,1.095227242,0.0,0.8816931840000001,0.096012697,0.9656543942025186,0.291612685,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,10,11.074815191835079,-9999.0
4,200206,1.969141841,23.118768300000053,69.21622467,100.4444063,259.99120370370366,2.483473539,2453.25,2.084812403,-4.44e-16,0.8816931840000001,0.096012697,1.838164885643761,0.32472232,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,6,166.5821965388429,-9999.0
22,200411,2.218012571,8.381585700000016,73.1819458,100.7565781,68.96092592592592,4.757724762,161.66666669999995,0.956048608,-4.44e-16,0.8816931840000001,0.096012697,0.842941541246288,0.3804015220000001,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,11,6.76829266579999,-9999.0
0,200201,1.572708726,1.7345825000000443,74.92765808,101.6867188,68.09829282407406,0.934946835,38.5,0.87142092,0.0,0.8816931840000001,0.096012697,0.7683258855590094,0.34580454200000005,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,1,44.130183745335216,1329.7127
1,200202,2.105327845,6.566644300000008,75.9881897,100.7419453,87.66012731481482,4.2257328030000005,101.25,0.900614083,-4.44e-16,0.8816931840000001,0.096012697,0.7940652983955103,0.39740186899999996,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,2,30.982715632409764,950.2691
13,200306,1.969552994,27.148461900000033,52.26267624,100.3850469,283.30541666666664,1.616769075,2436.75,2.084812403,-4.44e-16,0.8816931840000001,0.096012697,1.838164885643761,0.18704634899999997,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,6,169.54762312493747,-9999.0
14,200307,2.071957111,26.85112920000001,50.35533524,100.3114609,279.6877083333333,0.954002261,2904.0,2.499898911,0.0,0.8816931840000001,0.096012697,2.2041438305177232,0.180679098,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,7,111.09896358468822,2063.4977
18,200407,1.990570903,25.052514600000052,52.19732285,100.3917188,273.9418518518518,1.042638659,2928.75,2.499898911,0.0,0.8816931840000001,0.096012697,2.2041438305177232,0.18055224399999997,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,7,192.0810496163012,-9999.0
5,200207,1.896641016,22.9878784,70.61387634,100.2458828,248.82858796296296,4.096782207,2919.75,2.499898911,0.0,0.8816931840000001,0.096012697,2.2041438305177232,0.29380524199999997,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,7,169.25230586232655,-9999.0
2,200203,2.279104471,10.607720900000004,63.23414612,100.7043984,176.3305671296296,1.115836978,522.0,1.087414265,0.0,0.8816931840000001,0.096012697,0.9587657456348699,0.36158934200000004,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,3,39.261167242088064,1326.0449
10,200302,2.087542057,1.8820435000000089,61.77388382,101.0800391,123.9355324074074,0.12931440800000002,96.75,0.900614083,-4.44e-16,0.8816931840000001,0.096012697,0.7940652983955103,0.368864745,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,2,6.525927622721295,-9999.0
16,200309,2.003901243,19.39422000000002,59.90618896,100.8776172,180.75680555555562,1.764934063,706.5,1.528916359,0.0,0.8816931840000001,0.096012697,1.3480351326363968,0.234510496,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,9,60.978364462004244,-9999.0
15,200308,1.815799475,28.46883539999999,52.30868912,100.42396090000001,244.6282175925926,1.195774913,1974.25,2.187613249,0.0,0.8816931840000001,0.096012697,1.9288036908713948,0.178982079,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,8,135.0821813584656,-9999.0
7,200209,1.886449456,18.069146699999976,74.62496185,100.4751797,159.55318287037036,2.526232958,1181.0,1.528916359,0.0,0.8816931840000001,0.096012697,1.3480351326363968,0.360732049,61.63000870000001,16,62,21,0,0,0,0,0,0,0,0,1,0,0,9,64.18289111935188,-9999.0
