,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200810,1.313745022,2.4243408000000386,79.95749664,77.46671094000001,123.53097222222219,3.2329192160000004,337.75,0.80979085,4.958779335,0.549845099,0.119573347,1.0381973722079283,0.518096507,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,10,24.247204890721196,-9999.0
17,201009,1.255286098,4.468316700000003,77.36417389,77.37884375,187.57085648148143,2.490047455,1276.25,0.908815205,4.9996018410000005,0.549845099,0.119573347,1.097526712161662,0.525433064,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,9,50.161046157342156,-9999.0
19,201104,1.292879581,0.8533568999999943,68.89353943,77.36952344000002,254.43023148148148,1.7144614459999998,257.3333333,0.786630809,4.947286129,0.549845099,0.119573347,1.0240886560622589,0.534544885,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,4,33.88188434942127,-9999.0
29,201208,1.2731601,11.341119399999965,65.39909363,77.8808125,238.9003703703704,3.707473278,2772.5,0.979116142,5.028205395,0.549845099,0.119573347,1.139601560514095,0.48736912,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,8,85.87045841548796,1139.04925
38,201310,1.449458599,1.4781128000000194,86.08433533,77.51444531,122.2289699074074,4.320969105,422.0,0.80979085,4.958779335,0.549845099,0.119573347,1.0381973722079283,0.574051321,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,10,23.39636438866118,-9999.0
44,201410,1.3803560730000002,2.6360718000000816,85.1170578,77.58269530999998,123.22430555555556,3.357804775,508.33333330000005,0.80979085,4.958779335,0.549845099,0.119573347,1.0381973722079283,0.554993689,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,10,25.785180000993904,-9999.0
5,200809,1.256881595,4.644921899999988,78.34731293,77.43645312999998,180.4212037037037,4.609315872,1535.5,0.908815205,4.9996018410000005,0.549845099,0.119573347,1.097526712161662,0.56653899,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,9,53.54283138403938,-9999.0
25,201110,1.456122994,1.2932983000000036,75.75028992,77.68761719000003,144.8211574074074,2.15024066,480.6666667,0.80979085,4.958779335,0.549845099,0.119573347,1.0381973722079283,0.525248945,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,10,25.249243948052026,-9999.0
27,201206,1.477150798,7.965295400000002,74.25788116,77.54924219,258.25175925925925,4.307759762,3082.5,0.968142509,5.023589134,0.549845099,0.119573347,1.1330157804124248,0.595982611,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,6,93.43091585638564,1409.9801
40,201406,1.155090451,5.858392299999991,78.38232422,77.60220312999998,288.69703703703703,2.567253113,3357.25,0.968142509,5.023589134,0.549845099,0.119573347,1.1330157804124248,0.594629407,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,6,95.00689875654793,1338.9848399999996
0,200803,1.477465272,-7.664648399999976,78.93618774,76.26776563,188.27952546296297,3.049251795,-174.25,0.744713843,4.9273180960000005,0.549845099,0.119573347,0.9986531732033928,0.49628084899999997,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,3,106.32217230528371,854.4640400000003
32,201303,1.623392463,-8.087683099999937,80.43021393,76.05991406,177.4670023148148,3.083374977,-262.25,0.744663298,4.927236557,0.549845099,0.119573347,0.9986156313917228,0.498132735,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,3,6.871075580802711,-9999.0
31,201210,1.577984691,1.104913300000021,81.39409637,77.11245312999998,124.7468402777778,2.958355427,291.75,0.80979085,4.958779335,0.549845099,0.119573347,1.0381973722079283,0.5632588860000001,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,10,15.757556178460431,-9999.0
33,201305,1.453953862,-0.8182128999999351,85.26737213,76.80823438,264.6761805555556,8.633669852999999,-149.0,0.880264044,4.986902714,0.549845099,0.119573347,1.0803095190956842,0.583677828,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,5,31.62635494276876,-9999.0
20,201105,1.268824697,4.09575810000007,73.48681641,77.62458594,260.86819444444444,3.980429649,1431.5,0.880264044,4.986902714,0.549845099,0.119573347,1.0803095190956842,0.590505004,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,5,70.53340904076659,2129.51102
7,200906,1.5252370830000002,6.590417500000001,73.56378937,77.47749219,278.0842129629629,4.61669445,3088.25,0.968142509,5.023589134,0.549845099,0.119573347,1.1330157804124248,0.598132253,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,6,90.24654400597912,1498.6858999999995
42,201408,1.27448988,6.274743699999987,83.33476257,77.49332813,242.39027777777767,2.608029127,2884.25,0.979116142,5.028205395,0.549845099,0.119573347,1.139601560514095,0.517773092,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,8,85.81950007231026,1134.7276
18,201010,1.518478513,-0.3927978999999482,81.86083984,77.07677344000003,123.1455787037037,4.31234169,354.6666667,0.80979085,4.958779335,0.549845099,0.119573347,1.0381973722079283,0.552354097,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,10,17.871556607010092,-9999.0
21,201106,1.426250696,7.021050999999999,77.85758209,77.60680469,242.79976851851853,6.113678455,2931.75,0.968142509,5.023589134,0.549845099,0.119573347,1.1330157804124248,0.577070475,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,6,89.16095091725141,-9999.0
13,201005,1.300958753,0.6329895000000079,83.47309113,76.94274219,258.3817824074074,9.100542068,100.0,0.880264044,4.986902714,0.549845099,0.119573347,1.0803095190956842,0.585859358,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,5,29.90912299853004,-9999.0
1,200805,1.35032773,2.151330600000051,79.31499481,77.26039844,255.2998611111111,5.355830669,1292.0,0.880264044,4.986902714,0.549845099,0.119573347,1.0803095190956842,0.579838395,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,5,131.42084309780995,1251.2921
37,201309,1.292966723,6.5316711000000405,76.38103485,77.53421094000002,177.67348379629627,3.58944416,1569.75,0.908815205,4.9996018410000005,0.549845099,0.119573347,1.097526712161662,0.523103952,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,9,57.73496944173112,-9999.0
12,200911,1.5184152130000002,-4.373785399999973,85.49287415,76.88755469,79.61673032407406,4.612419605,81.0,0.762846351,4.935399055,0.549845099,0.119573347,1.009589511174371,0.53409785,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,11,2.5003662584659376,-9999.0
35,201307,1.10917151,10.174798600000033,76.328125,77.97652344000002,239.7998148148148,5.418339252000001,3757.5,1.00742197,5.040964603,0.549845099,0.119573347,1.1566910425186612,0.594014704,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,7,99.91766911955958,1188.63364
22,201107,1.395188808,7.266412399999979,76.74758911,77.32473438,238.43590277777776,6.472372055,3243.75,1.00742197,5.040964603,0.549845099,0.119573347,1.1566910425186612,0.552227676,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,7,97.42108512838652,-9999.0
9,200908,1.230736613,11.29491580000007,69.02149963,77.93521094,225.51261574074073,2.87476635,2700.0,0.979116142,5.028205395,0.549845099,0.119573347,1.139601560514095,0.487073123,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,8,93.72264170862655,1254.2449
16,201008,1.366012335,7.851525899999956,76.79707336,77.60867969,227.05148148148143,4.818174362,2456.75,0.979116142,5.028205395,0.549845099,0.119573347,1.139601560514095,0.548496485,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,8,82.2756040059296,-9999.0
26,201203,1.349373937,-2.9472716999999307,65.62592316,77.74124219000002,205.06347222222215,1.683831334,-161.5,0.744713843,4.9273180960000005,0.549845099,0.119573347,0.9986531732033928,0.499567419,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,3,18.70040666917189,-9999.0
28,201207,1.503215909,9.70229489999997,70.2193985,77.6636875,273.79722222222216,4.7268600460000005,3862.75,1.00742197,5.040964603,0.549845099,0.119573347,1.1566910425186612,0.516964674,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,7,111.78699204796604,1088.44593
11,200910,1.38885951,1.1124512000000095,73.12557220000002,77.35208594000002,133.64684027777776,1.746740341,385.0,0.80979085,4.958779335,0.549845099,0.119573347,1.0381973722079283,0.533238173,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,10,22.91530155146441,-9999.0
4,200808,1.326481104,9.677117899999985,72.57069397,77.63869531,234.2060648148148,3.087882042,2981.25,0.979116142,5.028205395,0.549845099,0.119573347,1.139601560514095,0.516143978,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,8,100.31442749778476,-9999.0
41,201407,1.258272529,6.766503900000032,86.86916351,77.51522656,225.3676157407407,6.200010777,3307.75,1.00742197,5.040964603,0.549845099,0.119573347,1.1566910425186612,0.5876331929999999,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,7,92.98778107778278,-9999.0
43,201409,1.244345903,5.476617400000008,85.27667999,77.63339063,181.87865740740745,1.859631777,1605.0,0.908815205,4.9996018410000005,0.549845099,0.119573347,1.097526712161662,0.48266258799999995,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,9,55.34113931368309,-9999.0
14,201006,1.360938311,6.325952100000053,79.38781738,77.38536719000003,237.58023148148143,4.656635284,2567.0,0.968142509,5.023589134,0.549845099,0.119573347,1.1330157804124248,0.5998817679999999,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,6,80.70030154947055,1404.0328390000002
36,201308,1.260787368,9.810845900000004,71.31963348,77.81823437999998,226.67814814814813,3.661820173,3246.5,0.979116142,5.028205395,0.549845099,0.119573347,1.139601560514095,0.520993888,1596.534058,12,60,26,0,0,0,0,0,0,0,0,0,0,0,8,95.24376966991396,-9999.0
