,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200501,6.640851498,5.239495800000043,81.59331512,101.88897659999999,33.91732638888889,1.698657274,152.75,2.511456013,2.4477298259999998,0.745837986,0.11929867400000001,2.1651502172155603,0.58895576,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,1,1.4146471207459543,-9999.0
51,200811,5.342367649,7.2857910000000174,85.28063965,101.2256953,33.744754050925934,2.721892118,322.6666667,2.787706375,2.475192785,0.745837986,0.11929867400000001,2.374464525434228,0.590572774,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,11,25.51424482572628,-9999.0
25,200605,5.176562786,13.990045200000054,68.84344482,101.3261719,213.42409722222214,3.108540297,3170.25,3.344987154,2.532298326,0.745837986,0.11929867400000001,2.7969183145994516,0.467304051,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,5,131.57457394434627,-9999.0
5,200407,3.734659672,16.638482700000054,78.75296783,101.5132734,215.96229166666663,3.585576296,3188.0,3.384263992,2.5399379730000002,0.745837986,0.11929867400000001,2.8271238721067484,0.522369921,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,7,111.98005798005899,-9999.0
77,201104,4.085492611,12.469995100000062,65.5092392,101.9404609,204.28879629629628,0.5965862270000001,2224.666667,3.105502129,2.507824659,0.745837986,0.11929867400000001,2.615381609855274,0.44576931,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,4,82.50504600034341,-9999.0
72,201011,4.7742486,5.657250999999974,85.18135834,100.5646797,33.34592303240741,2.227332115,381.25,2.787706375,2.475192785,0.745837986,0.11929867400000001,2.374464525434228,0.5860599879999999,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,11,2.189639993524772,-9999.0
20,200511,4.628056049,7.592340100000057,82.20063782,101.4146484,35.954166666666666,1.634774685,613.75,2.787706375,2.475192785,0.745837986,0.11929867400000001,2.374464525434228,0.562345862,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,11,16.53630389532542,-9999.0
22,200602,4.886378765,2.7815796000000432,86.71771240000002,101.4401094,53.54121527777777,1.888736844,153.25,2.479875326,2.44682765,0.745837986,0.11929867400000001,2.1414885128264696,0.579707384,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,2,7.501663722087097,-9999.0
23,200603,4.944703579,3.4162231000000247,79.66273499,101.0138203,113.83277777777776,2.00004077,529.0,2.671382427,2.461801767,0.745837986,0.11929867400000001,2.286108175643429,0.584658742,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,3,8.92681565368559,-9999.0
81,201108,4.105584145,16.71294560000007,80.2824707,101.27010940000001,168.30219907407405,4.150876045,2467.25,3.24450469,2.5239501,0.745837986,0.11929867400000001,2.7209787437293214,0.56794709,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,8,80.56849294967532,-9999.0
71,201010,5.017366409,11.067804000000024,80.19713593,101.32960940000001,75.00009259259258,2.017345905,1026.0,2.940535307,2.490918159,0.745837986,0.11929867400000001,2.4903261645459933,0.5541343089999999,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,10,4.4592365876010565,-9999.0
80,201107,4.623157978,15.702905300000054,77.25631714,101.2086406,189.86277777777767,4.899530888,3064.0,3.384263992,2.5399379730000002,0.745837986,0.11929867400000001,2.8271238721067484,0.47881913200000004,0.221248165,25,26,49,0,0,1,0,0,0,0,0,0,0,0,7,113.15147911106213,-9999.0
