,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
45,200410,4.606983662,11.523858600000038,80.80784607,100.8700703,81.13900462962962,1.454331756,1367.0,2.493634224,2.332304955,0.680298448,0.318175584,2.438497983590103,0.227400795,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,10,56.65288811861864,-9999.0
11,200106,3.640629292,14.76567990000001,70.87990570000002,101.5254219,212.8065046296296,2.2149353030000003,3818.5,3.036984205,2.519734144,0.680298448,0.318175584,2.8677735240539537,0.16624988599999999,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,6,55.805733774216954,2247.48392
128,201205,3.647631168,14.204949999999995,72.96581268,101.46133590000001,209.0641898148148,2.573135376,3460.0,2.804565907,2.437585592,0.680298448,0.318175584,2.6835220531303983,0.22450621399999998,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,5,87.67018571716369,-9999.0
15,200110,4.901476383,14.234735100000027,82.71762848,101.3139453,75.88350115740741,2.137197971,1638.333333,2.493634224,2.332304955,0.680298448,0.318175584,2.438497983590103,0.25163126,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,10,42.26983342950745,-9999.0
7,200102,4.21250391,3.841668700000014,84.59174347,101.58610159999999,61.27044560185186,2.9080672260000004,403.75,2.057101727,2.1830167769999997,0.680298448,0.318175584,2.094025750159992,0.264831513,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,2,18.73346374685028,-9999.0
115,201104,3.640959501,12.773858600000038,61.43405151,101.83078909999999,197.32337962962964,0.88545841,3004.666667,2.506187677,2.332870007,0.680298448,0.318175584,2.4472178639331346,0.172118068,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,4,61.97290688176262,-9999.0
120,201109,4.035515785,15.728204300000018,77.816185,101.3837891,122.87979166666666,1.869537473,2394.0,2.752212048,2.421978235,0.680298448,0.318175584,2.642939924177716,0.23495727800000002,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,9,79.09230039448502,-9999.0
1,200004,3.585996389,9.597406000000037,74.24223328,100.6635313,161.18221064814813,2.639878035,2935.25,2.506187677,2.332870007,0.680298448,0.318175584,2.4472178639331346,0.245544553,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,4,49.83225574599506,-9999.0
104,201004,3.640004396,8.909112500000049,66.53115845,101.8634375,193.47899305555552,1.115447283,2586.333333,2.506187677,2.332870007,0.680298448,0.318175584,2.4472178639331346,0.20373112,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,4,61.859048793149405,-9999.0
51,200505,3.817283392,12.411035200000017,73.29377747,101.5242656,214.89206018518522,3.107596636,3368.5,2.804565907,2.437585592,0.680298448,0.318175584,2.6835220531303983,0.24141319100000005,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,5,94.93576996122606,-9999.0
31,200306,3.305529594,18.038385000000005,70.79223633,101.4732656,240.2575,2.00516367,3969.5,3.036984205,2.519734144,0.680298448,0.318175584,2.8677735240539537,0.156996548,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,6,84.88130284782703,-9999.0
73,200706,3.5021653180000003,17.179956100000027,80.61871338,101.0647813,197.30189814814813,3.592937231,3927.25,3.036984205,2.519734144,0.680298448,0.318175584,2.8677735240539537,0.23599328100000005,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,6,97.71743586492914,-9999.0
26,200301,4.72070694,2.079278600000066,85.8021698,101.32914840000001,30.57809606481481,2.308716536,72.75,2.115096092,2.200931072,0.680298448,0.318175584,2.139179117935811,0.262212068,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,1,14.123056643834918,-9999.0
29,200304,4.1860060689999985,9.680017100000043,61.33507156,101.5849688,186.38506944444444,2.095505953,2824.333333,2.506187677,2.332870007,0.680298448,0.318175584,2.4472178639331346,0.166595876,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,4,46.41526415407543,-9999.0
99,200911,5.673451424,9.101220699999999,84.89341736,100.3197344,31.806762152777768,3.63007021,748.75,2.35414505,2.28250432,0.680298448,0.318175584,2.3277583688804047,0.266246587,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,11,29.67263396697864,-9999.0
88,200811,4.57891798,6.708001700000013,86.92214966,101.1508984,33.56910011574074,2.309666634,363.0,2.35414505,2.28250432,0.680298448,0.318175584,2.3277583688804047,0.26122638600000003,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,11,25.381014460364145,-9999.0
41,200406,3.98222971,15.549066200000027,75.18844604,101.5207422,214.6810185185185,2.7759675980000003,4417.5,3.036984205,2.519734144,0.680298448,0.318175584,2.8677735240539537,0.17926070100000002,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,6,108.5556909890455,-9999.0
40,200405,3.353523731,11.995477300000005,72.43575287,101.4239375,199.2675925925926,1.384240746,3061.333333,2.804565907,2.437585592,0.680298448,0.318175584,2.6835220531303983,0.171844155,12.00519943,2,91,5,0,0,1,0,0,0,0,0,0,0,0,5,65.0577614538719,-9999.0
