,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200308,2.162962198,14.85683590000002,71.59677124,95.70421875,188.23247685185186,2.663195848,597.0,2.268045425,2.1466467380000003,0.790899217,0.158729196,2.1345308615716947,0.441930205,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,8,72.25081689467234,1205.8228700000004
11,200310,2.751184464,0.8228699000000006,68.63571929999999,96.45575,74.78511574074074,1.167202234,-24.33333333,1.6505168680000002,1.843990088,0.790899217,0.158729196,1.5980875626467017,0.4505443870000001,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,10,11.79084696374275,-9999.0
16,200409,2.97330451,8.98259889999997,69.81334686,95.92139844,135.19138888888892,1.58265245,207.25,1.850062013,1.941551805,0.790899217,0.158729196,1.7713935544831425,0.4326684770000001,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,9,36.915328671197855,-9999.0
13,200406,2.342236757,16.875451700000042,64.73051453,95.49613281,240.95678240740745,1.530681252,611.75,2.3360311990000002,2.180514097,0.790899217,0.158729196,2.1936764956601484,0.388150007,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,6,103.78574089624584,-9999.0
1,200206,2.51318717,16.928460700000016,60.81629181,95.02799219,245.7755555555556,2.437351465,327.5,2.3360311990000002,2.180514097,0.790899217,0.158729196,2.1936764956601484,0.36586225,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,6,68.31921407168309,1141.7831
14,200407,2.383718967,17.351892100000047,66.04479218,95.19821094,236.7280092592593,1.4472463130000002,650.75,2.53672719,2.278911591,0.790899217,0.158729196,2.368025352908121,0.392125994,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,7,91.15365160617745,1133.3166
6,200305,2.595316172,10.852655000000027,51.46983337,95.87719531,255.16837962962958,1.489103913,170.25,1.8681302069999999,1.950279832,0.790899217,0.158729196,1.7870690676787229,0.412664264,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,5,52.647032136571426,1961.0299400000006
17,200410,3.264787436,2.752923600000031,64.86509705,96.11671875,72.30936342592592,0.620261312,22.0,1.6505168680000002,1.843990088,0.790899217,0.158729196,1.5980875626467017,0.42149213,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,10,13.396342963044436,-9999.0
12,200405,2.951079845,12.340539600000055,53.90971375,95.66639844,247.6435648148148,1.564687252,126.3333333,1.8681302069999999,1.950279832,0.790899217,0.158729196,1.7870690676787229,0.432317138,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,5,67.95937086334911,-9999.0
5,200210,2.824753761,-1.0923827999999958,70.66176605,96.41494531,74.02732638888888,1.024930596,26.33333333,1.6505168680000002,1.843990088,0.790899217,0.158729196,1.5980875626467017,0.44058191799999996,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,10,14.381970820957939,-9999.0
2,200207,2.279511452,17.683343500000035,75.46076202,95.31155469,207.1233333333333,3.080052137,739.25,2.53672719,2.278911591,0.790899217,0.158729196,2.368025352908121,0.43397060000000004,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,7,71.47571295776432,1356.3313599999994
4,200209,2.910352468,9.747399900000003,66.30193329,95.94126563,129.3787847222222,1.39382267,288.75,1.850062013,1.941551805,0.790899217,0.158729196,1.7713935544831425,0.40708667,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,9,38.84529214978179,-9999.0
10,200309,2.51265049,9.085900899999958,69.67186737,95.94684375,127.40219907407406,1.762581944,170.0,1.850062013,1.941551805,0.790899217,0.158729196,1.7713935544831425,0.448193371,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,9,39.16676450312489,-9999.0
0,200205,2.784476995,12.398004200000004,44.60843658,95.6890625,266.95849537037043,0.493501931,-0.25,1.8681302069999999,1.950279832,0.790899217,0.158729196,1.7870690676787229,0.347291261,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,5,78.37224973231477,1324.3365
15,200408,2.180153131,15.082147200000007,67.58280945,95.42575781,199.7528472222222,2.307418108,445.0,2.268045425,2.1466467380000003,0.790899217,0.158729196,2.1345308615716947,0.37664812799999997,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,8,68.73147347785202,-9999.0
7,200306,2.321012259,17.992791699999994,62.77730942,95.37958594,255.4622222222221,2.391400576,912.75,2.3360311990000002,2.180514097,0.790899217,0.158729196,2.1936764956601484,0.41590416399999997,445.2650757,26,14,55,1,0,0,0,0,0,0,0,0,0,0,6,95.01881302947879,1318.1922099999995
