,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201007,4.316081047,29.378747600000054,65.93208313,100.5633828,254.10879629629628,0.83979243,1134.5,1.1669042109999999,0.0,0.6928265090000001,0.0,0.8084621708445295,0.143660218,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,1,144.96743526700033,1043.8109000000004
28,201205,4.664617538,30.965264900000022,39.68496704,100.46732809999999,307.56446759259256,0.002606238,240.0,0.973481655,4.44e-16,0.6928265090000001,0.0,0.6744538966091924,0.114461653,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,11,6.847879826565657,2380.636100000001
32,201209,2.992977858,27.67666020000001,76.94600677,100.66824220000001,226.31935185185185,4.405912876,2291.0,1.528184891,0.0,0.6928265090000001,0.0,1.0587670031380756,0.277420759,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,3,93.1490627231771,962.26487
26,201203,4.808849812,27.506799300000072,25.22983932,100.5566016,286.0421527777778,0.257812977,230.5,0.9734832640000001,0.0,0.6928265090000001,0.0,0.6744550113670454,0.123640113,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,9,13.818393257133891,1442.40225
41,201306,4.609332561,29.17257080000001,58.28527832,100.5693984,302.5066435185185,0.097212546,280.0,0.99449414,-4.44e-16,0.6928265090000001,0.0,0.6890119032371573,0.118486494,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,12,52.162648190999114,1566.6972
47,201312,4.06812048,24.77474369999999,29.67171288,100.7757656,216.50715277777766,0.038162805,268.5,1.038460255,0.0,0.6928265090000001,0.0,0.7194727932068998,0.118987888,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,6,8.128114722751302,1039.1390199999996
5,201006,4.268177509,30.200921600000008,54.79304886,100.5953359,294.9210185185185,0.11726541800000001,378.0,0.99449414,-4.44e-16,0.6928265090000001,0.0,0.6890119032371573,0.118954115,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,12,140.72509261991993,1104.3882
40,201305,4.2945690160000005,31.38808590000001,33.162166600000006,100.4472969,314.9611805555556,0.002630364,180.25,0.973481655,4.44e-16,0.6928265090000001,0.0,0.6744538966091924,0.11197906,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,11,57.59765297097871,1567.4625
18,201107,4.201224804,29.504815699999995,64.22065735,100.5593828,276.99796296296296,0.698059797,662.75,1.1669042109999999,0.0,0.6928265090000001,0.0,0.8084621708445295,0.13955766,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,1,70.73405354238083,1428.0233000000005
31,201208,3.701016665,28.182489000000032,74.48016357,100.6454766,227.9877546296296,2.566086292,2735.75,1.481677055,0.0,0.6928265090000001,0.0,1.0265451414810511,0.21574135100000005,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,2,104.38281626548924,694.3464700000003
0,201001,3.977015495,25.02993160000005,15.08466434,100.7074297,228.88303240740737,0.0008426369999999999,219.75,0.981786907,0.0,0.6928265090000001,0.0,0.6802079953587178,0.118198358,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,7,157.2914395669989,1242.4288000000004
11,201012,3.647888899,27.020593300000034,34.59153748,100.4375469,209.65337962962963,0.000883879,438.5,1.038460255,0.0,0.6928265090000001,0.0,0.7194727932068998,0.118251473,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,6,59.70052424703106,1826.454
36,201301,4.453330994,23.823541300000052,14.88092804,100.8445625,219.9846759259259,0.004759436,159.0,0.981786907,0.0,0.6928265090000001,0.0,0.6802079953587178,0.118267946,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,7,8.657754923727177,-9999.0
17,201106,4.562582016,29.757623300000034,56.50843811,100.55976559999999,288.37916666666666,0.010847548,474.75,0.99449414,-4.44e-16,0.6928265090000001,0.0,0.6890119032371573,0.117572471,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,12,65.46755684029391,1374.536
43,201308,3.3882641789999997,27.263482700000054,78.34008789,100.5584766,213.48287037037042,4.1349859239999995,2577.0,1.481677055,0.0,0.6928265090000001,0.0,1.0265451414810511,0.265803725,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,2,94.82437475216308,720.34883
35,201212,4.504067898,24.50380860000001,17.49092674,100.7631016,218.6987731481481,0.0008734960000000001,235.0,1.038460255,0.0,0.6928265090000001,0.0,0.7194727932068998,0.118220091,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,6,8.926050435388731,963.9783300000003
33,201210,3.080945015,30.31292110000004,55.41011429,100.5030234,248.52094907407403,0.523871958,1258.25,1.227685213,0.0,0.6928265090000001,0.0,0.8505728602737115,0.15332116199999998,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,4,81.31462854762918,1254.0945
7,201008,3.360102892,28.50130619999999,74.1979599,100.5610234,228.3648611111111,3.063245535,3120.75,1.481677055,0.0,0.6928265090000001,0.0,1.0265451414810511,0.209187955,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,2,121.61396534761087,-9999.0
45,201310,3.2593355180000003,29.95559080000004,55.81316757,100.5907969,245.95585648148145,0.325760901,1159.0,1.227685213,0.0,0.6928265090000001,0.0,0.8505728602737115,0.130922362,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,4,44.61153018617143,1640.2975
20,201109,3.398435831,29.321679700000004,70.55469513,100.61117970000001,262.41358796296294,1.663433194,3041.5,1.528184891,0.0,0.6928265090000001,0.0,1.0587670031380756,0.17614869800000002,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,3,104.44489113465592,844.5233099999997
25,201202,4.939949989,24.59865719999999,16.4875946,100.6957344,242.6295601851852,0.008332619,167.0,0.9735048409999999,0.0,0.6928265090000001,0.0,0.6744699604846301,0.11813271,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,8,11.303089373313766,-9999.0
19,201108,3.509472609,28.114068600000053,75.17630005,100.578625,227.75229166666665,3.434245825,1956.25,1.481677055,0.0,0.6928265090000001,0.0,1.0265451414810511,0.229991436,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,2,105.23212718601471,576.5970980000002
21,201110,3.2095835210000003,30.315789800000005,45.33852768,100.44132809999999,259.59243055555555,0.782844663,1662.666667,1.227685213,0.0,0.6928265090000001,0.0,0.8505728602737115,0.148895428,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,4,68.07326022220644,1241.713
13,201102,5.079726218999999,24.97384030000001,18.07200813,100.6658594,259.12321759259254,0.000988924,203.25,0.973526597,-4.44e-16,0.6928265090000001,0.0,0.6744850336181599,0.118166789,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,8,21.90771885466908,1381.1631
1,201002,4.086807728,27.50386960000009,31.52423668,100.5557031,259.3203703703703,0.0013172610000000001,310.25,0.973526597,-4.44e-16,0.6928265090000001,0.0,0.6744850336181599,0.118118651,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,8,125.00506213605685,986.5129
4,201005,4.73309803,31.78228150000001,36.74038315,100.3877422,301.8563888888889,0.008961278,260.5,0.973481655,4.44e-16,0.6928265090000001,0.0,0.6744538966091924,0.116666488,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,11,144.49963138740796,1133.9383999999998
12,201101,4.256984234,24.881799300000072,23.2152729,100.5450469,221.08627314814808,0.001075127,313.0,0.981786907,0.0,0.6928265090000001,0.0,0.6802079953587178,0.118224524,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,7,28.142344773410287,1703.7669
38,201303,4.2836217880000005,29.546136500000053,31.00964165,100.45589059999999,291.4966898148148,0.0009253139999999999,216.5,0.973526597,0.0,0.6928265090000001,0.0,0.6744850336181599,0.11770688,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,9,10.776311333822573,1428.6729000000007
22,201111,3.7909913060000004,28.72854000000001,21.9373703,100.5371875,242.61196759259255,0.000901023,614.25,1.067114115,-4.44e-16,0.6928265090000001,0.0,0.7393249470000747,0.118164599,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,5,24.83588267101457,1181.8881500000002
29,201206,4.414131641,30.181268300000053,52.63306808,100.5788125,293.11782407407406,0.054488312000000004,272.0,0.99449414,-4.44e-16,0.6928265090000001,0.0,0.6890119032371573,0.113545366,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,12,18.049999397963244,2020.5986
9,201010,3.3351373669999997,29.37456670000001,57.75999451,100.5159375,240.86659722222214,0.855910718,1888.0,1.227685213,0.0,0.6928265090000001,0.0,0.8505728602737115,0.163838699,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,4,98.26396198977993,888.23693
27,201204,5.1230793,28.997644000000037,36.71638107,100.4797188,295.211412037037,0.031804904,214.5,0.973540902,0.0,0.6928265090000001,0.0,0.6744949445013712,0.119827002,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,10,13.885931458392855,1735.4005
16,201105,4.621490002,29.676690699999995,46.51419067,100.3929375,307.54472222222216,0.010485427,357.25,0.973481655,4.44e-16,0.6928265090000001,0.0,0.6744538966091924,0.117247075,42.26721191,6,86,7,1,0,0,0,0,0,0,0,0,0,0,11,71.9549104576541,1496.7777999999994
