,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200907,4.372005939,28.134729000000053,49.84363556,93.77903906,296.95900462962965,1.597998381,1192.5,1.320342422,0.0,1.0,0.0,1.320342422,0.172010049,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,7,41.48375381209283,1792.9563000000005
28,201105,6.0949821470000005,21.097009300000078,43.07008362,93.26088281,309.1136805555555,0.6964109540000001,834.5,1.227178335,4.44e-16,1.0,0.0,1.227178335,0.160197943,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,5,30.68393620451904,2256.913
32,201109,4.22329855,22.62758789999998,41.9769783,93.9991875,237.38506944444438,0.709464729,505.5,1.144858479,0.0,1.0,0.0,1.144858479,0.159239069,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,9,32.725235106966636,1745.6161999999995
26,201103,5.160181046,10.734887700000002,52.55261612,93.77872656,203.1581712962963,0.710277975,341.5,0.911269069,0.0,1.0,0.0,0.911269069,0.193277493,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,3,21.736567823410226,1302.88386
41,201206,5.91799593,26.941552699999992,51.69687271,93.52414063,309.61902777777766,1.468403339,1195.0,1.310553789,-4.44e-16,1.0,0.0,1.310553789,0.180713698,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,6,42.34720454388509,2424.7016
47,201212,4.615487099,5.087274200000024,48.44532776,93.69240625,110.08399305555555,0.67029798,143.25,0.817634344,0.0,1.0,0.0,0.817634344,0.16242684400000001,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,12,26.96262498057371,2090.8573
5,200906,4.952375412,26.17632450000001,54.49954987,93.43636719,283.624212962963,1.577510595,1737.25,1.310553789,-4.44e-16,1.0,0.0,1.310553789,0.19313514199999998,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,6,60.78077173363863,-9999.0
40,201205,5.780953407,23.09142460000004,49.01803207,93.534125,297.56740740740736,0.238374516,1650.333333,1.227178335,4.44e-16,1.0,0.0,1.227178335,0.15420383199999999,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,5,41.741343697988135,-9999.0
18,201007,4.887484074,27.481408700000035,62.52558136,93.75159375,278.27023148148146,3.050016165,1217.25,1.320342422,0.0,1.0,0.0,1.320342422,0.230636343,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,7,55.108209196224955,2226.2469
31,201108,4.151400566,30.941247600000054,45.75083923,93.57159375,275.29064814814814,0.5206629629999999,877.5,1.296014547,0.0,1.0,0.0,1.296014547,0.143552557,638.6399536,10,66,22,1,0,0,0,0,0,0,0,0,0,0,8,57.836345449212416,1571.96625
