,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200508,4.535872459,9.054193100000075,78.51937866,101.0230781,128.70094907407406,2.240379095,408.25,1.001740217,0.0,0.987609267,0.0,0.989327921435791,0.28405576899999996,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,8,40.78119678737278,-9999.0
22,200807,4.800517558999999,9.821740699999964,74.74539185,100.6127969,199.7636574074074,1.370606899,591.25,1.022249937,0.0,0.987609267,0.0,1.0095835109713662,0.218231961,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,7,34.990097654788904,2232.3166300000007
13,200608,4.109070778,4.314691200000027,87.31258392,101.0961797,88.38413194444445,1.323815703,262.75,1.001740217,0.0,0.987609267,0.0,0.989327921435791,0.360424221,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,8,36.36262457043836,933.70695
11,200606,4.19409132,6.798547400000018,78.03664398,100.903125,196.26363425925925,1.595270157,144.0,0.901385069,-4.44e-16,0.987609267,0.0,0.8902162472798344,0.353505731,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,6,55.27722129504068,1483.80947
5,200408,4.4160695080000005,9.399560500000009,83.72253418,101.3919453,113.6026273148148,1.192788959,446.25,1.001740217,0.0,0.987609267,0.0,0.989327921435791,0.302004337,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,8,39.399825969398606,-9999.0
19,200709,5.219787121,4.569299300000068,79.52793121,100.6938047,81.39239004629628,0.419711977,117.0,0.969695508,0.0,0.987609267,0.0,0.9576802698690726,0.190996185,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,9,18.1089286666963,-9999.0
23,200808,4.329943657,4.616937300000019,82.27323151,101.2438125,113.79618055555555,0.5056642889999999,323.75,1.001740217,0.0,0.987609267,0.0,0.989327921435791,0.247044072,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,8,27.80514733351961,1113.9894999999997
21,200806,3.94711256,7.630944800000068,77.93037415,100.9222656,207.77729166666663,1.178212523,269.0,0.901385069,-4.44e-16,0.987609267,0.0,0.8902162472798344,0.30993709,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,6,46.30393167581581,2347.5742000000005
6,200409,4.560233116,0.5829406999999946,79.54745483,100.8723281,56.16608796296296,2.03307724,121.75,0.969695508,0.0,0.987609267,0.0,0.9576802698690726,0.323563665,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,9,20.34809938906585,-9999.0
12,200607,4.731359005,8.20031130000001,82.18222809,100.7953516,163.76280092592592,1.901306152,477.0,1.022249937,0.0,0.987609267,0.0,1.0095835109713662,0.313212663,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,7,55.80043079220536,1414.5361399999995
4,200407,4.687329292,10.604669199999991,80.7385025,100.8626641,172.46782407407406,1.884483695,592.5,1.022249937,0.0,0.987609267,0.0,1.0095835109713662,0.314990461,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,7,60.4292026636458,-9999.0
25,200811,5.575607777,-16.809729000000004,94.52302551,101.12296090000001,1.2797788263888887,0.74148792,105.0,0.7968670729999999,-4.44e-16,0.987609267,0.0,0.7869933058619654,0.245526776,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,11,1.750384149448183,-9999.0
0,200306,5.253255844,7.651330600000051,73.18843079,101.17991409999999,276.78738425925917,0.278965205,53.75,0.901385069,-4.44e-16,0.987609267,0.0,0.8902162472798344,0.27148363,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,6,99.58297418824804,-9999.0
1,200307,5.031920433,8.762719699999991,74.38086700000002,100.6447734,145.70887731481483,1.648210526,427.0,1.022249937,0.0,0.987609267,0.0,1.0095835109713662,0.254856914,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,7,47.83357943590458,-9999.0
20,200805,6.262406826,-2.8902038999999604,88.13568115,101.6658359,189.51928240740745,0.521373391,-509.6666667,0.7709743379999999,4.44e-16,0.987609267,0.0,0.7614214008279901,0.266433507,21.92071342,3,81,16,1,0,0,0,0,0,0,0,0,0,0,5,11.595187056799555,-9999.0
