,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200102,2.944924831,2.464868200000012,72.95570374,89.57189063,125.70416666666668,7.054267406,650.5,4.44e-16,2.5520865919999998,0.00773656,0.9922634359999999,2.5323422107474496,0.489491671,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,2,13.935012383307932,-9999.0
77,200709,2.17640233,17.407159399999955,45.68088913,89.64495312999998,250.2603935185185,0.490987003,1623.0,0.0,3.514839888,0.00773656,0.9922634359999999,3.4876471042567347,0.275525242,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,9,55.711428181802646,2472.9986599999993
25,200206,2.208837032,20.12676390000001,39.43317413,89.6089375,359.6202546296296,0.013562683999999998,2547.0,4.44e-16,3.6606185439999996,0.00773656,0.9922634359999999,3.632297934354757,0.277827919,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,6,126.62046063813192,2756.0109
5,200008,1.9688586,22.211999500000047,36.69719315,89.79563281,303.08780092592593,0.075880095,2082.0,0.0,3.577633858,0.00773656,0.9922634359999999,3.549955264689016,0.253621221,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,8,94.76419171365559,2317.15549
62,200602,2.6841089730000003,5.683648699999992,62.51740265,89.90840625,148.51368055555554,5.506752491,793.25,4.44e-16,2.5520865919999998,0.00773656,0.9922634359999999,2.5323422107474496,0.459812403,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,2,30.851195272275767,-9999.0
70,200701,2.779508114,3.43898930000006,54.83252335,90.06750781,124.17504629629627,1.565233827,696.5,4.44e-16,2.478116751,0.00773656,0.9922634359999999,2.4589446421564163,0.44761571299999997,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,1,16.756995021597305,-9999.0
20,200112,2.666909695,3.0662169999999933,77.47216797,89.85915625,72.56006944444444,9.19953537,565.0,-4.44e-16,2.513082743,0.00773656,0.9922634359999999,2.4936401175214846,0.4917432370000001,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,12,5.255716215193081,-9999.0
22,200203,2.543647289,5.906091300000013,64.87841034,89.81975,202.4761805555556,5.124763488999999,1167.75,4.44e-16,2.682775021,0.00773656,0.9922634359999999,2.6620195603524315,0.469240785,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,3,38.61784009274797,-9999.0
23,200204,2.234243631,9.515863000000024,69.21703339,89.69296875,253.0786342592592,2.530580521,1517.666667,0.0,2.918004274,0.00773656,0.9922634359999999,2.895428947181925,0.433766931,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,4,63.266005495528354,-9999.0
65,200607,2.212789774,25.46584469999999,29.32056236,89.79412500000002,341.95027777777784,0.025140215,2586.5,4.44e-16,3.6079642769999998,0.00773656,0.9922634359999999,3.580051030461275,0.255463481,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,7,212.2026339155732,1492.4632
69,200612,2.689325333,4.562677000000008,65.79354095,90.14046094,82.66056712962963,5.860345364,614.5,-4.44e-16,2.513082743,0.00773656,0.9922634359999999,2.4936401175214846,0.47973501700000004,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,12,14.41921746623284,-9999.0
45,200403,2.618052006,11.171716300000014,55.78038788,89.93364844000001,222.21833333333333,1.434812069,1460.0,4.44e-16,2.683315754,0.00773656,0.9922634359999999,2.6625561099369706,0.423908204,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,3,58.856048523053396,-9999.0
46,200404,2.743125439,11.591943399999993,50.274189,89.7345,278.82395833333334,1.132485151,1723.25,0.0,2.918004274,0.00773656,0.9922634359999999,2.895428947181925,0.368435621,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,4,69.55863199536802,2245.9439999999995
26,200207,2.012293816,24.07680660000005,35.92371368,89.80616406,344.96615740740737,0.009027957,2504.75,4.44e-16,3.6079642769999998,0.00773656,0.9922634359999999,3.580051030461275,0.253068268,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,7,152.92590611750347,2010.0817
39,200308,1.898385525,21.38567500000005,45.72752379999999,89.89021094,300.7381712962963,0.7003902790000001,2128.5,0.0,3.577633858,0.00773656,0.9922634359999999,3.549955264689016,0.286998123,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,8,108.85308243421473,2205.8369299999995
29,200210,1.951999664,13.598992899999983,46.19962692,89.64507813,192.30648148148143,0.002969523,1077.0,0.0,3.1180195810000004,0.00773656,0.9922634359999999,3.0938968229583415,0.257143468,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,10,29.820205539713715,1779.8591
6,200009,2.291842937,17.53524170000003,50.61125183,89.65530469000002,240.90071759259254,1.480306745,1499.75,0.0,3.514839888,0.00773656,0.9922634359999999,3.4876471042567347,0.325179547,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,9,69.46940795862629,-9999.0
75,200707,2.021086931,23.15010990000001,34.84406281,89.73997656,339.91148148148153,0.128380135,2499.0,4.44e-16,3.6079642769999998,0.00773656,0.9922634359999999,3.580051030461275,0.25723654,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,7,163.34982609201484,3091.9054
38,200307,2.104177475,24.64864500000005,32.62881851,89.88308594,340.9241666666667,0.042951409,2396.5,4.44e-16,3.6079642769999998,0.00773656,0.9922634359999999,3.580051030461275,0.25360164,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,7,147.3711483650902,1910.0578
12,200103,2.22428894,8.42971190000003,68.89704132,89.7095625,211.04511574074073,2.741595745,1099.0,4.44e-16,2.682775021,0.00773656,0.9922634359999999,2.6620195603524315,0.454381436,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,3,36.31558488391271,-9999.0
68,200611,2.255912781,7.597039800000005,69.17227936,89.9450625,99.19203703703705,4.827795029,751.5,0.0,2.739497423,0.00773656,0.9922634359999999,2.718303125859125,0.43893679999999996,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,11,20.932653486852946,-9999.0
55,200505,2.287819862,12.839349400000005,69.80857086,89.62478125,261.8646759259259,6.575892925,1833.25,-4.44e-16,3.3376741410000004,0.00773656,0.9922634359999999,3.3118520113970087,0.447596848,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,5,71.44646635401905,-9999.0
50,200408,2.0811638830000003,22.09093630000001,38.13064575,89.79077344000002,307.87844907407407,0.000775533,2107.75,0.0,3.577633858,0.00773656,0.9922634359999999,3.549955264689016,0.252349943,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,8,80.14203066057306,3237.0473999999995
28,200209,2.265264273,19.448297100000048,37.27575684,89.62683594,258.49703703703705,0.153339967,1490.0,0.0,3.514839888,0.00773656,0.9922634359999999,3.4876471042567347,0.25652083800000003,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,9,56.65421330170079,2285.8762999999994
43,200401,2.22388339,3.357202100000052,74.20179749,89.94048438,104.8492476851852,3.886357546,723.0,4.44e-16,2.478116751,0.00773656,0.9922634359999999,2.4589446421564163,0.477831513,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,1,13.083514911060586,-9999.0
32,200301,2.1564531330000003,7.483117699999981,69.43795776,90.26179688,106.13863425925926,2.179769516,930.0,4.44e-16,2.478116751,0.00773656,0.9922634359999999,2.4589446421564163,0.470432132,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,1,21.84969555987737,-9999.0
37,200306,2.092550278,20.18032230000005,44.73768616,89.50371875,359.2928935185185,0.022193197,2592.0,4.44e-16,3.6606185439999996,0.00773656,0.9922634359999999,3.632297934354757,0.264712811,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,6,125.796442457837,2590.861000000001
54,200502,2.353581429,6.2752624999999975,72.83162689,89.64882813,130.97484953703704,5.219711781,915.5,4.44e-16,2.5520865919999998,0.00773656,0.9922634359999999,2.5323422107474496,0.47423777,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,2,20.345272966456736,-9999.0
21,200202,2.416443586,5.736718800000006,69.29663849,90.1725,148.1135763888889,3.82561326,954.25,4.44e-16,2.5520865919999998,0.00773656,0.9922634359999999,2.5323422107474496,0.47509250000000003,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,2,23.27454030650493,-9999.0
33,200302,2.354520082,4.8414551000000765,65.40839386,89.60398438,148.96775462962958,2.663728476,909.0,4.44e-16,2.5520865919999998,0.00773656,0.9922634359999999,2.5323422107474496,0.463399202,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,2,23.105111038273353,-9999.0
35,200304,2.552787542,5.162713600000076,79.09356689,89.54189063,203.0142361111111,8.739050865,1305.333333,0.0,2.918004274,0.00773656,0.9922634359999999,2.895428947181925,0.48465502299999996,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,4,34.27144572306196,-9999.0
78,200710,2.400303125,11.629541000000017,59.00629425,89.84334375,169.6390740740741,2.8205060960000004,1146.0,0.0,3.1180195810000004,0.00773656,0.9922634359999999,3.0938968229583415,0.40112358299999995,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,10,45.26484985867117,1419.9616499999993
80,200712,2.476902008,2.8022400000000403,68.43477631,89.99580469,83.26928819444444,5.548683643,533.25,-4.44e-16,2.513082743,0.00773656,0.9922634359999999,2.4936401175214846,0.46092793299999996,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,12,47.205852096375644,1336.9166
17,200108,2.006803274,22.526483200000033,36.67179871,89.83547656,319.1849768518518,0.0005126,2076.75,0.0,3.577633858,0.00773656,0.9922634359999999,3.549955264689016,0.252545148,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,8,83.56779790867692,3014.3089000000004
76,200708,2.121360302,22.656610100000023,32.70521927,89.66467188,316.148125,0.045413304,2213.5,0.0,3.577633858,0.00773656,0.9922634359999999,3.549955264689016,0.252716869,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,8,98.43845645291105,2766.1922
40,200309,2.25122714,21.02971800000006,36.77097702,89.71989844000002,252.5193055555556,0.064412341,1524.75,0.0,3.514839888,0.00773656,0.9922634359999999,3.4876471042567347,0.263361216,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,9,75.13023950710125,-9999.0
0,200003,2.52264905,6.657006800000032,67.2747345,89.74889844,207.72819444444443,2.739642143,1046.75,4.44e-16,2.683315754,0.00773656,0.9922634359999999,2.6625561099369706,0.457423329,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,3,41.64948706978278,-9999.0
18,200109,2.003956318,19.451409899999987,42.73906326,89.67845313,252.9155092592593,0.698704779,1429.25,0.0,3.514839888,0.00773656,0.9922634359999999,3.4876471042567347,0.286183208,1301.449341,14,52,31,0,0,0,0,0,0,1,0,0,0,0,9,48.65008026698814,2367.6537000000008
