,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
0,201101,3.702684164,-5.567388899999969,73.01384735,99.488375,83.80655092592592,1.248219609,45.0,0.6963807940000001,4.904717445,0.686005533,0.12985824,1.1146390528639298,0.358715922,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,1,8.57977973440603,-9999.0
19,201208,2.832546234,22.64449460000009,66.80352783,99.33502344,243.3479398148148,2.321655273,4068.25,2.011370659,4.970337391,0.686005533,0.12985824,2.025250666789308,0.248912647,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,8,162.78169973188866,-9999.0
32,201309,3.3812580110000003,18.91961060000005,70.62366486,99.50782813,185.4162615740741,1.709407091,2339.25,1.580449224,4.949986935,0.686005533,0.12985824,1.7269935036916508,0.252773821,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,9,86.05986516283663,-9999.0
35,201312,4.612772942,-1.5790160999999898,74.79852295,99.65760938,64.49858217592592,3.324382067,93.25,0.771368921,4.906115532,0.686005533,0.12985824,1.1662628760124236,0.35766956200000005,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,12,15.648776640592766,-9999.0
7,201108,2.984575748,22.993035899999995,69.00827789,99.09476563,238.6338888888889,2.940091848,4364.75,2.011370659,4.970337391,0.686005533,0.12985824,2.025250666789308,0.25046899899999997,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,8,170.77024982772392,-9999.0
12,201201,4.978839874,-0.3796143000000143,74.37101746,99.30801563,74.91461805555555,2.805008888,93.0,0.6963807940000001,4.904717445,0.686005533,0.12985824,1.1146390528639298,0.387103081,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,1,37.153438390271255,-9999.0
29,201306,3.618650675,20.910577400000022,71.56125641,99.185,261.75953703703703,5.807654857999999,1929.75,1.556182861,4.946696758,0.686005533,0.12985824,1.7099193878133558,0.352847099,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,6,163.08707838069762,-9999.0
33,201310,4.060254097,12.830316200000027,73.68717194,99.49222656,129.34787037037034,2.377871275,548.3333332999998,1.067609429,4.923136233999999,0.686005533,0.12985824,1.3716957820044389,0.30965164300000003,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,10,59.550290732788646,-9999.0
5,201106,3.763196945,21.497125200000028,70.40660095,99.201625,274.4249537037037,2.872876644,1390.25,1.556182861,4.946696758,0.686005533,0.12985824,1.7099193878133558,0.32772994,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,6,75.85140363017095,2698.7353000000007
1,201102,5.13039732,-4.233709699999963,78.15834808,99.50876563,130.6582060185185,3.550355911,-23.0,0.706520617,4.905043602,0.686005533,0.12985824,1.1216373817195544,0.379261553,180.9407196,37,17,43,0,0,0,0,0,0,0,0,0,0,0,2,17.173645845013517,-9999.0
