,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
69,201007,3.472723007,13.718560800000036,46.77273178,71.7714375,315.43027777777775,1.780064225,1517.0,0.304458857,2.317822933,0.193230897,0.7208887340000001,1.7297232978442418,0.279997706,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,7,83.15355548916516,2531.62548
54,200810,3.951777935,0.8643127000000277,56.22735977,71.46932031,173.02953703703704,1.69134295,281.5,0.303256929,1.8111313580000001,0.193230897,0.7208887340000001,1.3642228001884562,0.32667589199999997,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,10,24.555877226005673,-9999.0
37,200705,3.114421129,3.4800659,58.33116913,71.26076563,294.28916666666663,3.173188925,957.25,0.303198487,1.920364976,0.193230897,0.7208887340000001,1.4429567919786332,0.405864,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,5,60.47371801667244,-9999.0
46,200802,4.907994747,-9.748388699999962,78.32227325,70.4705625,153.02751157407403,1.861048341,165.5,0.303259045,1.593765855,0.193230897,0.7208887340000001,1.2075268667920909,0.301589042,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,2,41.628480407612464,-9999.0
106,201311,4.630363463999999,-5.7408507999999765,66.35972595,71.07851563,122.78,1.015790105,116.75,0.303234547,1.6957672830000001,0.193230897,0.7208887340000001,1.2810538133186886,0.353990585,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,11,18.133699070347426,-9999.0
26,200605,3.747368097,4.1562438999999936,49.46833038,71.30172655999998,319.4762731481481,1.962593913,869.25,0.303198487,1.920364976,0.193230897,0.7208887340000001,1.4429567919786332,0.393839121,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,5,82.6601249227041,-9999.0
116,201409,3.357632399,8.705560300000059,53.73794937,71.62394531,228.35277777777776,2.767292738,524.0,0.303182244,2.016364098,0.193230897,0.7208887340000001,1.5121583388528648,0.350627154,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,9,55.39423514994297,-9999.0
57,200906,3.3000748160000004,7.900842300000023,61.98699951,71.35178125,306.6129398148148,4.1135072710000005,1323.25,0.303442895,2.207268715,0.193230897,0.7208887340000001,1.6498296923432838,0.379114121,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,6,94.78691177908287,-9999.0
21,200510,3.311732292,2.2350098000000567,63.19059753,71.34361719,160.55396990740738,2.338064432,275.3333333,0.303256929,1.8111313580000001,0.193230897,0.7208887340000001,1.3642228001884562,0.342425108,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,10,32.050720794368715,-9999.0
33,200701,4.205383778,-12.039739999999995,75.61373138,70.68346875,110.92464120370369,1.235226512,133.5,0.303212494,1.60680604,0.193230897,0.7208887340000001,1.2169183941563806,0.323620051,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,1,15.502600674787045,-9999.0
11,200412,5.12042284,-9.29608760000002,73.66758728,70.83729688,94.98821180555555,0.879906297,119.5,0.303236187,1.618975639,0.193230897,0.7208887340000001,1.225695899192421,0.341003269,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,12,20.62721771754148,-9999.0
68,201006,3.656299114,9.303430199999982,52.73000336,71.50400780999998,312.9616203703703,3.447490454,1231.75,0.303442895,2.207268715,0.193230897,0.7208887340000001,1.6498296923432838,0.37656191,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,6,65.05489367199868,-9999.0
97,201302,4.276012421,-11.03995359999999,76.42591095,70.52541406,151.92180555555555,1.374095082,156.75,0.303207308,1.5939207080000002,0.193230897,0.7208887340000001,1.2076285013882992,0.299831122,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,2,44.60423150581394,-9999.0
25,200604,4.069166183,-1.3589538999999604,60.09201431,70.91064062999997,289.6128472222222,1.466473699,376.0,0.303231388,1.6974749569999998,0.193230897,0.7208887340000001,1.2822842458502297,0.322652608,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,4,49.545944619373124,-9999.0
32,200612,4.399538993999999,-9.32120359999999,75.75019073,70.93760938,92.1107523148148,1.789370537,120.0,0.303236187,1.618975639,0.193230897,0.7208887340000001,1.225695899192421,0.334623575,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,12,27.399669290182906,-9999.0
80,201106,3.722014666,7.6505066000000275,48.36713028,71.34267188,333.67219907407406,1.7501459119999998,1178.25,0.303442895,2.207268715,0.193230897,0.7208887340000001,1.6498296923432838,0.40672338,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,6,38.25658727522357,-9999.0
101,201306,3.735876083,11.621972700000017,34.57475281,71.55488281,335.55527777777775,0.457195401,1315.0,0.303442895,2.207268715,0.193230897,0.7208887340000001,1.6498296923432838,0.286712945,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,6,71.28765163379606,3219.4211000000014
110,201403,4.806918144,-5.624975599999972,67.12334442,70.7239375,224.7678935185185,2.046073914,149.25,0.303254277,1.60387361,0.193230897,0.7208887340000001,1.2148125121727062,0.31755188100000004,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,3,45.537662985470774,-9999.0
