,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
81,201010,3.5409543510000003,13.257043500000007,57.24652863,98.82545313,147.9589814814815,1.317387581,695.3333332999997,2.266133785,1.685042739,0.148123845,0.85187614,1.7711161537529507,0.286835462,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,10,45.85014781100328,-9999.0
73,201002,3.012511492,-4.445440699999949,76.6687088,98.94220313,118.67075231481479,1.324840188,-49.75,2.126360178,1.4238700869999998,0.148123845,0.85187614,1.5279255989952685,0.36702469,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,2,9.558071541847132,-9999.0
26,200603,3.621414185,3.177667199999973,68.06157684,99.12138281,163.99540509259256,2.76970768,196.75,2.163950205,1.497340441,0.148123845,0.85187614,1.5960812198981158,0.37026584100000004,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,3,20.953950732892693,-9999.0
29,200606,2.912405014,20.217034899999987,63.67416,98.95674219,277.2540972222222,2.742722273,2673.25,2.462918043,2.055767059,0.148123845,0.85187614,2.1160757974091084,0.325271219,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,6,173.84878768350842,-9999.0
43,200708,2.387830973,23.743402100000022,73.77172089,98.7930625,217.62509259259255,5.19614315,2229.75,2.471662283,2.085127354,0.148123845,0.85187614,2.142382362633372,0.344738007,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,8,142.705368046723,-9999.0
80,201009,3.4806857110000005,18.465234399999982,67.88558197,98.78666406,171.9534259259259,3.470526695,1503.5,2.381809473,1.904981852,0.148123845,0.85187614,1.9756113640499948,0.329129338,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,9,94.02962454679493,-9999.0
35,200612,3.842371702,0.07698970000001283,77.33872986,99.25766406,66.38683449074074,2.94391799,131.5,2.147307873,1.4604671,0.148123845,0.85187614,1.562204574292526,0.385348976,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,12,14.861490700261614,-9999.0
44,200709,3.218423128,19.93868410000005,62.47930527,99.09113281,211.43685185185186,1.462919354,1572.25,2.381809473,1.904981852,0.148123845,0.85187614,1.9756113640499948,0.283877641,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,9,148.28207127321625,-9999.0
22,200511,4.538502693,5.6531616000000895,63.82049179,98.62730469,92.73311921296295,2.771471262,271.5,2.184927225,1.537013173,0.148123845,0.85187614,1.6329846705565725,0.312183797,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,11,26.10089357005461,-9999.0
64,200905,3.493226767,15.293023699999992,61.64236832,98.85410938,250.29307870370369,2.95951581,2086.0,2.390470505,1.924064755,0.148123845,0.85187614,1.993150539159137,0.35276514299999995,228.6060791,23,25,51,0,0,0,0,0,0,0,0,0,0,0,5,127.26853255299814,-9999.0
