,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
14,200709,3.068178177,2.3677307000000383,77.79264832,91.66303125,92.02332754629627,1.048228145,283.0,0.943197548,0.0,1.0,0.0,0.943197548,0.26218220600000003,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,9,18.30373670623923,-9999.0
9,200608,3.696131229,4.405175799999995,87.39376068,91.99479688,113.35444444444445,2.812235117,1042.25,1.203102708,0.0,1.0,0.0,1.203102708,0.33051642800000003,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,8,41.104696470220816,-9999.0
11,200706,3.513383389,9.298181199999988,78.84501648,92.21216406,218.98361111111112,3.0812041760000004,1328.75,1.143420696,-4.44e-16,1.0,0.0,1.143420696,0.306759864,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,6,61.02340800117457,-9999.0
1,200406,4.050835609,10.62444460000006,76.77236938,92.63415625,244.0891203703704,1.500842214,1542.0,1.143420696,-4.44e-16,1.0,0.0,1.143420696,0.259480149,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,6,84.50517251253669,1294.3917999999996
12,200707,3.128091574,12.849298100000055,65.98323822,92.16402344,242.24134259259253,1.804870844,2240.0,1.351287961,0.0,1.0,0.0,1.351287961,0.219205827,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,7,65.82153768200449,1200.3594999999996
6,200508,4.040590763,8.78032840000003,73.31015015,92.18949219,149.9731018518518,1.781331182,1307.5,1.203102708,0.0,1.0,0.0,1.203102708,0.18350113899999998,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,8,40.33724648883569,-9999.0
15,200710,3.111063242,-10.982519499999967,86.04942322,91.13676563,34.198995949074074,0.46773687,85.33333333,0.8181225059999999,0.0,1.0,0.0,0.8181225059999999,0.252606422,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,10,5.952005076794647,410.7694
5,200507,4.211608887,8.430719000000009,72.30316162,92.02925781,206.36324074074074,1.999990344,2168.75,1.351287961,0.0,1.0,0.0,1.351287961,0.248469099,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,7,67.42064511101577,1171.4304599999996
2,200407,3.821756363,12.473168900000019,75.00169373,92.16932031,196.61712962962963,4.838555336000001,2146.0,1.351287961,0.0,1.0,0.0,1.351287961,0.283934087,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,7,53.58282159270345,-9999.0
4,200506,4.064566612,7.999017299999991,81.05713654,92.33509375,228.60918981481478,1.276930809,754.25,1.143420696,-4.44e-16,1.0,0.0,1.143420696,0.27096301300000003,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,6,53.663078635871855,-9999.0
10,200609,3.298672199,3.3295531999999635,83.9467926,91.77025781,80.40472222222222,0.725763142,240.75,0.943197548,0.0,1.0,0.0,0.943197548,0.270497203,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,9,22.196099274913152,-9999.0
0,200405,3.891951799,0.23766480000000456,85.95635223,92.32594531,204.6517824074074,1.248021245,-41.33333333,0.843780577,4.44e-16,1.0,0.0,0.843780577,0.338899434,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,5,25.928532010207014,-9999.0
13,200708,3.117404938,9.763970900000004,71.14741516,92.38185938,160.29670138888892,1.662329793,1510.75,1.203102708,0.0,1.0,0.0,1.203102708,0.246871471,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,8,49.227385899710605,-9999.0
7,200606,4.669807434,5.429162600000041,73.92720032,92.06777344,195.34615740740745,2.473833084,569.5,1.143420696,-4.44e-16,1.0,0.0,1.143420696,0.310150176,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,6,29.63721591205957,-9999.0
3,200408,3.912594318,9.785363800000027,82.12770844,92.54621875,131.2876157407407,2.384802341,1331.0,1.203102708,0.0,1.0,0.0,1.203102708,0.296675116,720.8682861000003,17,33,47,0,0,0,0,0,0,0,0,0,1,0,8,30.62335642061848,-9999.0
