,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
57,200809,3.5915265080000003,15.071313499999974,71.63326263,95.98186719,166.37424768518517,2.17633462,1347.75,0.0,3.415944815,0.000625639,0.99937439,3.413807765764288,0.185074016,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,9,31.9693692981612,-9999.0
41,200607,3.18180418,22.146264600000052,64.10516357,95.63204688,276.7570138888889,3.070487738,2954.25,4.44e-16,5.010210037,0.000625639,0.99937439,5.007075599498752,0.19627030199999998,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,7,99.77263299947224,-9999.0
20,200208,3.29713273,18.836724899999982,75.22201538,95.90986719,222.3852546296296,3.2763500210000003,2653.0,0.0,4.7078847889999995,0.000625639,0.99937439,4.7049394891971525,0.233888373,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,8,103.59623957005188,-9999.0
56,200808,3.048997641,18.99181520000002,66.04553986,95.77541406,237.56886574074073,0.9199453000000002,2530.25,0.0,4.7078847889999995,0.000625639,0.99937439,4.7049394891971525,0.153111979,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,8,71.1378017615811,-9999.0
32,200502,3.359275341,-7.236883499999976,81.02731323,95.8269375,108.36974537037035,1.193496704,121.5,4.44e-16,1.235907793,0.000625639,0.99937439,1.2351345967256209,0.23416599600000002,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,2,1.7553988132810503,-9999.0
50,200707,2.963942528,20.21468510000005,64.14544678,95.67122656,270.1486805555556,2.051983595,2994.25,4.44e-16,5.010210037,0.000625639,0.99937439,5.007075599498752,0.15685637300000002,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,7,90.3098458381044,-9999.0
40,200606,2.947447062,17.60881960000006,64.51215363,95.83371875,285.4095138888889,2.709650278,3162.25,4.44e-16,4.566800594,0.000625639,0.99937439,4.563943557880386,0.22389161600000002,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,6,78.50165153513468,2227.985597
33,200503,3.230536222,-5.6778625000000025,73.46885681,95.32498438,184.75903935185184,1.040987015,145.0,4.44e-16,1.304576397,0.000625639,0.99937439,1.3037602409602729,0.23685720600000001,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,3,5.2747552890606935,-9999.0
26,200310,3.706222534,7.187127700000019,73.11420441,95.3953125,116.14787037037036,2.066113234,461.0,0.0,1.9691876169999998,0.000625639,0.99937439,1.9679556735349284,0.23907329100000002,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,10,14.82023466102199,-9999.0
64,201004,4.019874573,8.759088100000042,52.27413559,95.41651563,232.207662037037,1.221233726,519.6666667,0.0,1.8192936180000001,0.000625639,0.99937439,1.818155449719643,0.21041365,489.7381592,5,76,17,0,1,0,0,0,0,0,0,0,0,0,4,96.52770391623301,3848.7521
