,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
39,200708,2.534947872,27.36916500000001,58.2828598,98.95064844,254.2175694444444,1.198530078,3986.0,2.928572416,4.049318314,0.24743259,0.75256741,3.772009253725984,0.195278019,204.4813538,18,23,57,0,0,0,0,1,0,0,0,0,0,0,8,132.5532075120781,-9999.0
26,200407,2.653367758,23.39571530000001,71.10755157,98.91346875,247.35414351851853,3.063501835,5315.5,2.939421892,4.222390652,0.24743259,0.75256741,3.904942368824112,0.266680539,204.4813538,18,23,57,0,0,0,0,1,0,0,0,0,0,0,7,138.94754072705203,-9999.0
23,200404,3.900383949,12.358911099999998,60.92591476,99.05833594,220.48182870370368,1.629948139,1906.5,2.807469368,2.506227255,0.24743259,0.75256741,2.580764371236663,0.34173557200000004,204.4813538,18,23,57,0,0,0,0,1,0,0,0,0,0,0,4,38.88137356448421,-9999.0
56,201108,2.3165023330000003,24.406610100000023,63.89866257,98.76685156,255.2875694444444,2.028795004,4259.5,2.928572416,4.049318314,0.24743259,0.75256741,3.772009253725984,0.239258155,204.4813538,18,23,57,0,1,0,0,0,0,0,0,0,0,0,8,102.48781643867656,1390.93291
38,200707,2.593892574,23.935205100000076,59.59915543,98.99819531,284.5600462962962,1.239580154,6016.25,2.939421892,4.222390652,0.24743259,0.75256741,3.904942368824112,0.22667241100000002,204.4813538,18,23,57,0,0,0,0,1,0,0,0,0,0,0,7,144.93705014057502,-9999.0
64,201308,2.246197701,23.589074700000022,66.53243256,99.19667188,246.30189814814813,1.108000875,4827.75,2.928572416,4.049318314,0.24743259,0.75256741,3.772009253725984,0.226247385,204.4813538,18,23,57,0,1,0,0,0,0,0,0,0,0,0,8,119.82400560119284,-9999.0
55,201107,2.074892759,27.06401980000004,68.91526794,98.90667188,281.80965277777767,2.0757553580000003,4406.75,2.939421892,4.222390652,0.24743259,0.75256741,3.904942368824112,0.266283363,204.4813538,18,23,57,0,1,0,0,0,0,0,0,0,0,0,7,153.95598418242105,1158.03745
11,200109,2.907673597,18.71080930000005,68.88558959999999,99.23325,207.14078703703706,1.436382055,2366.75,2.879418612,3.449838877,0.24743259,0.75256741,3.308698313442564,0.267354459,204.4813538,18,23,57,0,0,0,0,0,0,0,0,1,0,0,9,95.54522523141131,-9999.0
18,200306,2.528704882,19.68676150000005,72.41902924,98.87435938,247.82372685185183,4.277272224,4019.5,2.918002605,3.949591875,0.24743259,0.75256741,3.694343070107691,0.342879534,204.4813538,18,23,57,0,0,0,0,1,0,0,0,0,0,0,6,123.27508679248146,-9999.0
58,201205,2.702832222,21.136773699999992,59.41281891,98.9585625,284.0334722222222,1.743034482,4034.0,2.880506039,3.468644142,0.24743259,0.75256741,3.3231196078970235,0.275725871,204.4813538,18,23,57,0,1,0,0,0,0,0,0,0,0,0,5,118.87708556153706,-9999.0
65,201404,3.612518311,11.825341800000048,67.53198242,98.85942188,218.2300231481481,6.472989082000001,985.6666667000003,2.807469368,2.506227255,0.24743259,0.75256741,2.580764371236663,0.38367795899999996,204.4813538,18,23,57,0,1,0,0,0,0,0,0,0,0,0,4,30.723976904881027,-9999.0
5,200010,2.685537577,14.288690200000019,70.30161285,99.65542969,149.34328703703702,1.999628305,995.25,2.804914236,2.475658417,0.24743259,0.75256741,2.557127037067741,0.33919066200000003,204.4813538,18,23,57,0,0,0,0,0,0,0,0,1,0,0,10,37.76116227842007,-9999.0
20,200308,2.262115717,23.42046510000005,77.27054596,99.14746094,239.0554861111111,3.400028229,4119.5,2.928572416,4.049318314,0.24743259,0.75256741,3.772009253725984,0.303074002,204.4813538,18,23,57,0,0,0,0,1,0,0,0,0,0,0,8,139.19781904527278,-9999.0
