,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
75,200805,2.417669535,8.031549100000062,72.86282349,88.37634375,230.55439814814807,1.9036659,909.6666667000003,2.7467870710000004,2.466866255,0.052752048,0.9472479220000001,2.4816325773158434,0.408146322,1071.452637,8,70,20,0,1,0,0,0,0,0,0,0,0,0,5,75.75832995594288,-9999.0
26,200403,2.5401837830000003,2.8612915000000503,78.67357635,88.59222656,176.41905092592592,2.192306042,546.5,2.713101387,2.1461396219999997,0.052752048,0.9472479220000001,2.176047951857256,0.39890798899999996,1071.452637,8,70,20,0,1,0,0,0,0,0,0,0,0,0,3,48.5390837875304,-9999.0
11,200212,2.232582331,-0.15769039999992174,89.84769440000002,87.83594531,51.54055555555557,6.911763191,230.5,2.703862429,1.9985674619999998,0.052752048,0.9472479220000001,2.0357731559963184,0.361586303,1071.452637,8,70,20,0,0,0,0,0,0,1,0,0,0,0,12,16.84396801689265,-9999.0
125,201210,2.421899557,7.8878418000000465,68.32157135,88.37827344,131.11664351851852,3.1355652810000003,568.25,2.744046926,2.445027351,0.052752048,0.9472479220000001,2.460801172622519,0.26098761,1071.452637,8,70,20,1,0,0,0,0,0,0,0,0,0,0,10,28.717965343540467,-9999.0
46,200511,2.453221321,1.1316161999999963,85.28186798,88.52339844000002,74.39030092592594,5.6946477889999985,314.75,2.720845699,2.211423397,0.052752048,0.9472479220000001,2.2382964003846726,0.38699033899999996,1071.452637,8,70,20,0,1,0,0,0,0,0,0,0,0,0,11,24.684090696434804,-9999.0
111,201108,2.125517607,17.885614000000032,56.37105942,88.41634375,297.5404398148148,0.077849694,1630.75,2.784454584,2.8273420330000003,0.052752048,0.9472479220000001,2.8250795474114936,0.15725472599999998,1071.452637,8,70,20,1,0,0,0,0,0,0,0,0,0,0,8,87.80701375202953,2404.6401
130,201304,2.899468899,4.864953600000035,73.05042267,88.55213281,220.33759259259256,2.524582386,820.6666667000003,2.729244947,2.298262358,0.052752048,0.9472479220000001,2.3209975032742216,0.385226667,1071.452637,8,70,20,1,0,0,0,0,0,0,0,0,0,0,4,49.288152641698744,2647.7923
51,200604,2.288207531,4.189141800000016,74.47507477,88.050875,225.96097222222213,3.136775732,671.0,2.729244947,2.298262358,0.052752048,0.9472479220000001,2.3209975032742216,0.410992652,1071.452637,8,70,20,0,1,0,0,0,0,0,0,0,0,0,4,42.95638098385606,2603.0933600000008
32,200409,2.247602463,12.132287600000039,74.46767426,88.42424219,194.83645833333333,1.068509102,980.5,2.763916731,2.631140471,0.052752048,0.9472479220000001,2.6381446117065668,0.246128157,1071.452637,8,70,20,0,1,0,0,0,0,0,0,0,0,0,9,47.51093211737732,-9999.0
128,201302,2.427421331,-0.3456176999999343,81.57249451,88.61028906,108.06855324074071,2.120613575,340.25,2.703711748,2.053544044,0.052752048,0.9472479220000001,2.0878416603231367,0.370104581,1071.452637,8,70,20,1,0,0,0,0,0,0,0,0,0,0,2,12.0389740881571,-9999.0
41,200506,2.3210282330000003,10.595422400000018,73.62828827,88.14633594,266.19733796296293,1.967116594,1207.5,2.764923573,2.640021801,0.052752048,0.9472479220000001,2.646610546071176,0.329832107,1071.452637,8,70,20,0,1,0,0,0,0,0,0,0,0,0,6,85.0121180724917,-9999.0
15,200304,2.156905651,2.819329799999992,78.18612671,87.80628125,209.19185185185185,3.54843998,611.0,2.729244947,2.298262358,0.052752048,0.9472479220000001,2.3209975032742216,0.394717246,1071.452637,8,70,20,0,0,0,0,0,0,1,0,0,0,0,4,52.03148990967864,-9999.0
