,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
69,200602,3.211684942,-11.509161399999984,68.40439606,69.73107813,177.5020023148148,1.00331533,-75.75,2.086759567,2.06415844,0.029054064,0.9686264990000001,2.060027409130732,0.290951252,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,2,32.330529726043224,-9999.0
77,200611,2.717868567,-6.559271199999955,67.01416779,69.99441406,129.2928125,1.178295374,-38.75,2.102937937,2.206499338,0.029054064,0.9686264990000001,2.198372622222384,0.32771679800000003,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,11,31.484059699230066,-9999.0
123,201010,2.486606121,2.0253845000000297,63.14294815,70.4775625,169.57344907407406,1.908945203,25.66666667,2.114775419,2.3604855540000003,0.029054064,0.9686264990000001,2.3478716784803493,0.24816423699999998,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,10,50.01412455335354,-9999.0
97,200807,1.822567821,13.419305399999983,49.14670563,70.86386719000002,308.58884259259264,1.217272401,1095.0,2.165380955,2.8762521739999998,0.029054064,0.9686264990000001,2.8489271903937103,0.27316251399999997,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,7,106.40009906996158,-9999.0
46,200403,3.008990765,-3.8853821000000153,59.55496597,70.16457813,241.9258333333333,0.768417001,-142.5,2.092394829,2.137058496,0.029054064,0.9686264990000001,2.130804062413721,0.311557144,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,3,41.056887097887184,-9999.0
151,201306,2.59131813,10.715417500000001,39.97860336,70.63896875,333.6693287037037,0.727182508,328.75,2.1514899730000003,2.728660583,0.029054064,0.9686264990000001,2.7055624748414893,0.30964392399999996,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,6,95.82258069222635,2842.74189
7,200010,2.13119936,1.738763399999982,60.05442047,70.31471875,179.68006944444443,1.014937878,26.0,2.114775419,2.3604855540000003,0.029054064,0.9686264990000001,2.3478716784803493,0.305972904,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,10,22.371616618870593,-9999.0
26,200205,2.624735832,2.6242310000000093,49.31368256,70.18389063,306.7521296296296,1.583908558,-164.0,2.121425152,2.430503368,0.029054064,0.9686264990000001,2.415885990290967,0.39556860899999996,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,5,71.15645263848302,2830.8162999999995
126,201101,3.031805992,-11.883459500000017,76.73610687,69.68332812999999,117.48635416666666,1.196732044,84.5,2.089982271,2.114017725,0.029054064,0.9686264990000001,2.1084160664511944,0.294374079,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,1,26.3887272343639,-9999.0
11,200102,2.921908379,-9.514044199999942,71.05491638,69.60066406,168.9178125,0.935953319,-104.0,2.086759567,2.06415844,0.029054064,0.9686264990000001,2.060027409130732,0.292880684,3532.871826,11,66,21,0,1,0,0,0,0,0,0,0,0,0,2,30.96647429748516,-9999.0
