,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
105,201010,4.142644405,14.407495100000062,53.00029373,97.53690625,163.57903935185183,0.482702911,549.6666667000002,0.958526373,0.0,0.999175966,0.0008240119999999999,0.9577365146787512,0.24398356699999998,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,10,28.47498252145057,-9999.0
69,200706,4.105011463,22.727807600000066,63.18463898,97.27017969,290.71,1.232944965,2166.5,1.604014993,-4.44e-16,0.999175966,0.0008240119999999999,1.6026932301092582,0.26431620100000003,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,6,148.3695277972417,-9999.0
15,200205,4.513983727,15.592523200000016,62.77474976,97.45525781,258.160162037037,4.735609531000001,1193.25,1.171970963,4.44e-16,0.999175966,0.0008240119999999999,1.1710052190794753,0.36775010799999996,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,5,63.34772153518386,-9999.0
116,201110,4.542575836,14.543878199999995,50.12515259,97.53892969,155.06706018518517,0.97799468,500.0,0.958526373,0.0,0.999175966,0.0008240119999999999,0.9577365146787512,0.21699301899999998,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,10,50.78522870728264,-9999.0
90,200905,4.256371498,17.669885300000033,58.60275649999999,97.40839844,259.43997685185184,1.887183428,1432.0,1.171970963,4.44e-16,0.999175966,0.0008240119999999999,1.1710052190794753,0.324948162,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,5,57.75319778477581,-9999.0
26,200304,4.74276638,11.95317990000001,63.12567139,97.14645313,222.19597222222214,4.0962166789999985,541.6666667000002,0.952664852,0.0,0.999175966,0.0008240119999999999,0.9518798237713472,0.348999202,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,4,37.996290906702036,-9999.0
139,201309,4.485946178,22.201593000000052,60.80441284,97.35292969,212.77240740740746,1.947507024,1816.25,1.4191042180000002,0.0,0.999175966,0.0008240119999999999,1.4179348278748247,0.230425209,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,9,143.12994369266667,975.7025
28,200306,3.539386272,20.743890399999998,67.37648773,97.25213281,263.04650462962957,2.123839855,1939.75,1.604014993,-4.44e-16,0.999175966,0.0008240119999999999,1.6026932301092582,0.302976012,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,6,85.15984733554971,-9999.0
138,201308,3.629031181,24.661431899999968,67.30207062,97.58441406,242.64483796296287,1.493543148,3465.0,2.118130684,0.0,0.999175966,0.0008240119999999999,2.116385272299941,0.223431066,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,8,153.25484581843457,1038.5654
11,200201,4.177298069,-0.7751221000000328,62.05825043,97.57795313,102.03996527777778,0.736611068,15.0,0.667487442,0.0,0.999175966,0.0008240119999999999,0.666937409653219,0.32000893399999997,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,1,10.817891355041873,-9999.0
110,201104,5.101011753,11.103418000000033,63.17152023,96.82939844,205.88592592592602,3.968266487,544.3333332999998,0.952664852,0.0,0.999175966,0.0008240119999999999,0.9518798237713472,0.344476849,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,4,52.75943057857581,-9999.0
142,201312,4.150316238,-4.625616499999978,62.57524872,97.88651563,89.8912210648148,0.349428445,49.25,0.739409268,0.0,0.999175966,0.0008240119999999999,0.7387999696232529,0.285411239,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,12,168.89314035785628,1160.6647999999998
133,201303,4.310954571,1.0595337000000309,67.37681579999999,97.77364844,189.69177083333332,1.676890135,98.25,0.767340481,0.0,0.999175966,0.0008240119999999999,0.7667081663540797,0.350689352,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,3,47.7255170964405,-9999.0
89,200904,4.768063545,9.990045200000054,60.81088638,97.36983594,211.609537037037,3.987457037,493.33333330000005,0.952664852,0.0,0.999175966,0.0008240119999999999,0.9518798237713472,0.35025385,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,4,62.21128364774025,-9999.0
135,201305,4.557395935,16.082238800000027,69.37287903,97.31944531,215.93280092592602,4.813982964,1052.5,1.171970963,4.44e-16,0.999175966,0.0008240119999999999,1.1710052190794753,0.36161494299999997,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,5,89.24358429706359,-9999.0
51,200509,4.504266739,22.44097290000002,57.90280533,97.55351563,205.87474537037042,0.886421323,1170.0,1.4191042180000002,0.0,0.999175966,0.0008240119999999999,1.4179348278748247,0.18769446,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,9,78.76942026744072,-9999.0
122,201204,4.64201355,14.266839600000026,56.50570297,97.29198438,233.4578009259259,3.264542818,896.75,0.952664852,0.0,0.999175966,0.0008240119999999999,0.9518798237713472,0.33606350399999996,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,4,54.91362823371957,-9999.0
46,200504,4.597160338999999,13.126153600000064,58.77502441,97.26182031,221.64777777777766,4.429777145,872.0,0.952664852,0.0,0.999175966,0.0008240119999999999,0.9518798237713472,0.345156401,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,4,40.37320463451835,-9999.0
62,200609,4.321730137,17.492089800000027,64.2536087,97.38584375,181.09678240740746,3.279824257,1700.0,1.4191042180000002,0.0,0.999175966,0.0008240119999999999,1.4179348278748247,0.290476412,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,9,64.72023963897304,-9999.0
126,201208,3.656687498,24.950341800000054,56.23642731,97.4245625,266.7630324074074,1.513969898,2309.75,2.118130684,0.0,0.999175966,0.0008240119999999999,2.116385272299941,0.18994404399999998,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,8,151.7302876871684,-9999.0
85,200812,4.834396362,-5.0616820999999845,68.6855011,97.63707813,87.83837962962963,1.122460127,49.0,0.739409268,0.0,0.999175966,0.0008240119999999999,0.7387999696232529,0.334317207,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,12,18.902109930629283,-9999.0
29,200307,3.667247057,26.84298100000001,61.43002319,97.34907813,307.9409722222222,1.017963052,3391.5,2.16296339,0.0,0.999175966,0.0008240119999999999,2.1611810346258844,0.18423573699999998,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,7,193.5775909447771,-9999.0
127,201209,3.605011463,20.460504200000006,47.76111603,97.61317188,225.5876388888889,0.973685563,659.5,1.4191042180000002,0.0,0.999175966,0.0008240119999999999,1.4179348278748247,0.18695621199999998,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,9,38.20169375185315,2386.1219999999994
70,200707,3.480983257,26.454461700000024,60.95512772,97.42047656,284.7665509259258,0.856797576,3402.5,2.16296339,0.0,0.999175966,0.0008240119999999999,2.1611810346258844,0.172894403,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,7,211.51351126242267,-9999.0
76,200803,4.064806461,3.4098145000000386,61.65285873,97.59132031,187.54834490740745,1.622353196,146.0,0.767724693,0.0,0.999175966,0.0008240119999999999,0.7670920617503285,0.345523268,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,3,51.99641115864747,-9999.0
37,200405,4.853410244,18.48061519999999,65.85259247,97.09092969,256.63666666666666,6.682646751,1399.333333,1.171970963,4.44e-16,0.999175966,0.0008240119999999999,1.1710052190794753,0.32853511,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,5,58.169186791801216,2080.5751800000007
130,201212,3.835354567,-1.6418213000000037,73.66376495,97.45397656,84.16816550925925,1.47116816,77.75,0.739409268,0.0,0.999175966,0.0008240119999999999,0.7387999696232529,0.275442064,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,12,6.930829865952637,-9999.0
73,200710,4.497011185,14.470819100000027,65.40090942,97.38232813,142.86831018518518,4.492175579,581.3333332999998,0.958526373,0.0,0.999175966,0.0008240119999999999,0.9577365146787512,0.34976097899999997,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,10,40.11997574389947,-9999.0
99,201004,4.74215889,14.189019800000038,59.00165558,96.97564844,227.09754629629623,2.441125154,728.6666667000003,0.952664852,0.0,0.999175966,0.0008240119999999999,0.9518798237713472,0.338608146,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,4,71.47179171303435,-9999.0
129,201211,4.080646515,6.5295348999999865,63.01619720000001,97.82253906,112.61541666666666,0.341552913,188.3333333,0.7867568140000001,-4.44e-16,0.999175966,0.0008240119999999999,0.7861084996355324,0.280941665,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,11,22.12053657154197,-9999.0
32,200310,4.155707359,14.217797899999995,56.12485504,97.46989063,156.59334490740738,0.92191118,434.0,0.958526373,0.0,0.999175966,0.0008240119999999999,0.9577365146787512,0.216259465,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,10,21.629717632326088,-9999.0
96,200911,4.039805889,7.887506100000053,70.44126892,97.63196094,95.582505787037,0.688755035,184.5,0.7867568140000001,-4.44e-16,0.999175966,0.0008240119999999999,0.7861084996355324,0.346574455,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,11,13.48054558750402,-9999.0
54,200601,4.302598953,2.4384398999999917,67.92694092,97.28685156,98.6909722222222,0.6403931979999999,74.25,0.667487442,0.0,0.999175966,0.0008240119999999999,0.666937409653219,0.28881847899999996,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,1,21.090178650196602,-9999.0
6,200107,3.545680285,26.17293700000005,71.49605559999998,97.34734375,262.27872685185184,2.78553772,3497.75,2.16296339,0.0,0.999175966,0.0008240119999999999,2.1611810346258844,0.270995706,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,7,204.68064101114447,-9999.0
25,200303,4.366372585,4.129907199999991,63.22314072,97.238625,187.43523148148148,1.156428576,171.5,0.767340481,0.0,0.999175966,0.0008240119999999999,0.7667081663540797,0.33549398199999997,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,3,26.016049325816088,-9999.0
21,200211,3.704089642,3.9283691000000553,64.84740448,97.69485156,104.12105324074072,0.208827257,193.75,0.7867568140000001,-4.44e-16,0.999175966,0.0008240119999999999,0.7861084996355324,0.293490767,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,11,12.97878125298192,-9999.0
124,201206,4.641789913,24.92879640000001,58.65076447,97.08221875,297.90659722222216,4.165599823,2566.0,1.604014993,-4.44e-16,0.999175966,0.0008240119999999999,1.6026932301092582,0.27227205,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,6,182.1975779974961,-9999.0
23,200301,3.839110374,-4.281927499999996,66.10474396,98.19963281,100.60685185185186,0.556815505,11.5,0.667487442,0.0,0.999175966,0.0008240119999999999,0.666937409653219,0.244990677,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,1,7.4373517789482415,-9999.0
35,200401,3.90544486,-5.91992799999997,69.51676941,97.92601563,99.1979398148148,1.4452669619999998,2.75,0.667487442,0.0,0.999175966,0.0008240119999999999,0.666937409653219,0.313720852,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,1,9.457051195304249,-9999.0
40,200408,3.499579191,22.267755100000052,65.63756561,97.49517188,244.95243055555562,0.722531438,3664.25,2.118130684,0.0,0.999175966,0.0008240119999999999,2.116385272299941,0.1941109,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,8,150.62360283009502,-9999.0
112,201106,4.646356583,22.9389587,68.68605804,96.96532031,268.62611111111113,3.995607138,2275.25,1.604014993,-4.44e-16,0.999175966,0.0008240119999999999,1.6026932301092582,0.33827787600000003,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,6,102.72902343900893,-9999.0
97,201002,4.855368614,-6.843908699999987,86.9834137,97.87379688,132.4482060185185,0.984036505,-95.75,0.668109834,-4.44e-16,0.999175966,0.0008240119999999999,0.6675592887810496,0.36327013399999997,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,2,8.945710568584161,-9999.0
137,201307,3.477673054,24.74605710000009,60.90575027,97.54894531,288.61094907407414,1.241808295,3686.25,2.16296339,0.0,0.999175966,0.0008240119999999999,2.1611810346258844,0.19730943399999998,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,7,154.9515154177497,1051.0777999999998
101,201006,3.689582586,23.55635990000001,73.48007965,97.14542969,278.320324074074,9.188620567000001,2175.25,1.604014993,-4.44e-16,0.999175966,0.0008240119999999999,1.6026932301092582,0.37391901,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,6,162.35746285646798,-9999.0
102,201007,3.477304935,25.318444800000066,74.82743835,97.29194531,261.13965277777777,3.32702589,3136.0,2.16296339,0.0,0.999175966,0.0008240119999999999,2.1611810346258844,0.31640172,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,7,192.73872687060685,-9999.0
104,201009,4.3821029660000015,19.827874800000018,67.74063873,97.36292969,183.9151851851852,3.511776447,1549.25,1.4191042180000002,0.0,0.999175966,0.0008240119999999999,1.4179348278748247,0.288194269,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,9,76.76592620058344,-9999.0
84,200811,4.753414631,4.7089783000000685,67.48401642,97.62079688,96.94951388888887,0.866339505,148.0,0.7867568140000001,-4.44e-16,0.999175966,0.0008240119999999999,0.7861084996355324,0.320926398,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,11,20.93352703728387,-9999.0
33,200311,4.282232285,3.7978455000000513,64.46916199,97.64610156,94.42454861111106,2.344451904,159.0,0.7867568140000001,-4.44e-16,0.999175966,0.0008240119999999999,0.7861084996355324,0.319884866,327.7865601000001,18,42,38,0,0,0,0,0,0,0,0,1,0,0,11,17.916113682075263,-9999.0
