,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
25,200605,3.579991579,15.175164800000005,68.74266052,98.60745313,244.92266203703701,3.969902515,1229.25,1.7574743030000002,1.5195269580000001,0.966368079,0.024079472,1.7349564729203804,0.227855191,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,5,75.82828345361848,-9999.0
51,200809,3.174034595,19.504205300000077,68.9948349,99.33775,184.0529050925926,2.607330561,1125.25,1.898180962,1.556786895,0.966368079,0.024079472,1.871828096290432,0.150027275,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,9,98.21818345841906,-9999.0
21,200601,4.655972004,2.573754899999983,75.1137619,98.79584375,70.74614583333333,2.526097536,131.75,1.2604736090000002,1.389413953,0.966368079,0.024079472,1.2515378145372005,0.26833564,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,1,13.469988261780536,-9999.0
26,200606,2.87811923,20.28621830000003,64.87717438,99.07475781,272.4508101851852,1.890041709,2416.0,2.047361135,1.5968031880000002,0.966368079,0.024079472,2.0169546247041663,0.165403366,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,6,143.57810630154194,-9999.0
68,201005,3.871336699,16.896569800000066,69.95709229,98.98507031,241.91833333333332,4.629996777,1394.0,1.7574743030000002,1.5195269580000001,0.966368079,0.024079472,1.7349564729203804,0.25539124,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,5,88.70876848789919,-9999.0
43,200711,4.070345879,4.675622600000054,71.99926758,99.21927344,79.79196180555554,2.673579454,217.0,1.392930746,1.421828151,0.966368079,0.024079472,1.3803206803428731,0.22399649,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,11,11.737537701927009,-9999.0
29,200609,3.513466597,16.755426,74.72665405,98.95964844,157.2034259259259,3.074899673,1368.75,1.898180962,1.556786895,0.966368079,0.024079472,1.871828096290432,0.228163943,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,9,94.31333496334236,-9999.0
57,200906,3.006609917,20.0924622,69.78166199,98.65896875,252.18342592592592,3.892840385,2265.5,2.047361135,1.5968031880000002,0.966368079,0.024079472,2.0169546247041663,0.210444689,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,6,127.0423160851875,-9999.0
92,201206,3.824203014,22.874169899999966,52.87865448,98.86784375,301.22099537037036,1.439587116,2484.75,2.047361135,1.5968031880000002,0.966368079,0.024079472,2.0169546247041663,0.103910089,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,6,171.2483450819933,-9999.0
84,201110,3.712966919,11.713555900000017,72.09223175,98.98878906,126.4299074074074,2.916036367,543.3333332999998,1.5153588059999998,1.450241685,0.966368079,0.024079472,1.4993154323971438,0.227309108,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,10,46.732040339765156,-9999.0
41,200709,2.971816301,19.499292000000025,67.76435852,99.33579688,202.70395833333333,1.888409615,1851.0,1.898180962,1.556786895,0.966368079,0.024079472,1.871828096290432,0.167660296,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,9,114.35320038222736,-9999.0
77,201103,4.01142025,2.068017600000076,68.99648285,99.39250781,169.68363425925924,2.63488555,123.25,1.394685149,1.423825145,0.966368079,0.024079472,1.3820641659608823,0.263231993,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,3,17.707315066768068,-9999.0
62,200911,3.712549925,7.413720699999999,76.05674744,99.35336719,86.00553819444444,1.08819294,172.5,1.392930746,1.421828151,0.966368079,0.024079472,1.3803206803428731,0.22481031699999998,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,11,9.177904676746623,-9999.0
83,201109,3.516865969,17.487145999999996,75.1938858,98.9878125,150.73818287037037,4.784440994,2777.5,1.898180962,1.556786895,0.966368079,0.024079472,1.871828096290432,0.216754898,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,9,96.35892202183292,-9999.0
80,201106,3.498051405,20.98134770000001,71.14271545,98.83770313,268.2741203703703,2.747184992,1701.0,2.047361135,1.5968031880000002,0.966368079,0.024079472,2.0169546247041663,0.218811885,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,6,154.41128162762288,-9999.0
101,201303,4.307378292,0.5952698000000396,64.6315155,99.08065625,156.8346875,1.186926246,135.75,1.394685149,1.423825145,0.966368079,0.024079472,1.3820641659608823,0.256710887,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,3,15.67477048658298,-9999.0
74,201011,3.896325827,5.375970500000051,69.27329254,99.24420313,99.32293981481482,2.601278067,175.75,1.392930746,1.421828151,0.966368079,0.024079472,1.3803206803428731,0.174670905,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,11,11.103304376467836,-9999.0
32,200612,4.560872078,2.488916000000017,73.23468781,99.46839063,66.71516782407407,2.9100060460000003,90.5,1.323357701,1.404266715,0.966368079,0.024079472,1.3126646403896007,0.26754853100000003,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,12,10.82041026584088,-9999.0
70,201007,2.85037899,24.60466919999999,66.66891479,99.01078125,277.3221759259259,1.811276555,4651.25,2.402871609,1.692373395,0.966368079,0.024079472,2.3628098786514165,0.135313019,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,7,165.41250151959966,679.0166499999998
36,200704,4.813142299999999,7.973535200000013,62.51087952,98.82807031,202.41803240740745,3.0378160480000003,447.0,1.545887113,1.465124965,0.966368079,0.024079472,1.5291753953118843,0.240834624,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,4,22.286417999201824,-9999.0
78,201104,5.111657619,8.866387900000008,71.12865448,98.54764844,175.72201388888888,5.993381023,436.33333330000005,1.545887113,1.465124965,0.966368079,0.024079472,1.5291753953118843,0.271908969,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,4,27.57048698815296,-9999.0
5,200406,3.372050524,19.41317140000001,70.22459412,99.07580469,255.9144212962963,5.127290726,3070.0,2.047361135,1.5968031880000002,0.966368079,0.024079472,2.0169546247041663,0.240216315,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,6,147.29885382980768,-9999.0
46,200804,4.043254852,10.358392299999991,64.41749573,99.06042188,227.42597222222213,2.175932407,704.75,1.545887113,1.465124965,0.966368079,0.024079472,1.5291753953118843,0.23725839,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,4,25.133711746218893,-9999.0
11,200503,4.0584425930000005,0.4117371000000389,66.78924561,98.68989844,171.5155324074074,1.218218565,161.75,1.394685149,1.423825145,0.966368079,0.024079472,1.3820641659608823,0.255770028,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,3,13.920322818654304,-9999.0
72,201009,4.133250237,18.95299680000005,63.56763839999999,98.95266406,172.1523726851852,1.574616194,1495.75,1.898180962,1.556786895,0.966368079,0.024079472,1.871828096290432,0.12468469900000001,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,9,92.44543816076656,-9999.0
90,201204,4.271008015,9.862115500000016,58.43896103,99.03741406,229.37592592592603,1.260195732,713.25,1.545887113,1.465124965,0.966368079,0.024079472,1.5291753953118843,0.17927055100000006,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,4,29.270102803549115,-9999.0
89,201203,4.346922398,10.435784899999987,67.06381226,99.15434375,171.18324074074073,2.142457724,426.75,1.395292521,1.4239223,0.966368079,0.024079472,1.3826534503148629,0.250106752,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,3,22.34433026551745,-9999.0
35,200703,4.774552822,4.8943115000000725,64.22673035,99.42564844,169.06898148148147,2.266350746,194.5,1.394685149,1.423825145,0.966368079,0.024079472,1.3820641659608823,0.26631215199999997,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,3,14.74576417694175,-9999.0
28,200608,3.085110664,22.81362300000001,70.35006714,99.08582031,226.1186342592593,3.139549494,4062.25,2.374161243,1.684366941,0.966368079,0.024079472,2.3348723062276977,0.165217623,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,8,152.3909121191923,-9999.0
33,200701,4.367434978,-0.7235778999999525,74.08220673,99.19579688,68.05083912037037,2.869816065,70.25,1.2604736090000002,1.389413953,0.966368079,0.024079472,1.2515378145372005,0.266820133,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,1,17.562174915240917,-9999.0
22,200602,4.436798096,-1.1656249999999773,62.87467194,99.04753906,125.38283564814812,2.312018394,82.5,1.268405914,1.3915847540000001,0.966368079,0.024079472,1.2592556126239889,0.262170881,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,2,8.47628967076019,-9999.0
23,200603,3.855314016,3.1313416000000416,63.67129517,99.26236719,152.49596064814813,3.047937155,245.5,1.394685149,1.423825145,0.966368079,0.024079472,1.3820641659608823,0.248853624,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,3,15.491230059799108,-9999.0
54,200812,5.212135315,-2.2881226000000083,72.03344727,99.16784375,61.24530092592593,2.939755917,71.0,1.323357701,1.404266715,0.966368079,0.024079472,1.3126646403896007,0.25697732,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,12,15.21199344032919,-9999.0
93,201207,2.9714055060000004,26.653466800000054,60.46240234,98.92714063,280.7165277777777,2.068010092,4030.75,2.402871609,1.692373395,0.966368079,0.024079472,2.3628098786514165,0.100245424,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,7,186.8131155439619,-9999.0
20,200512,3.969362497,-4.533911099999956,84.88589478,99.03770313,73.67997106481482,2.598999977,38.5,1.323357701,1.404266715,0.966368079,0.024079472,1.3126646403896007,0.239717588,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,12,12.740139927781255,-9999.0
37,200705,3.506544113,17.220941200000027,61.38747025,99.44717188,268.69930555555555,1.036741972,1162.5,1.7574743030000002,1.5195269580000001,0.966368079,0.024079472,1.7349564729203804,0.162112311,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,5,63.280206827411966,-9999.0
6,200407,3.340702772,21.530572500000005,71.74863434,98.89514844,244.0432638888889,3.096131563,4654.0,2.402871609,1.692373395,0.966368079,0.024079472,2.3628098786514165,0.181040213,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,7,158.45688578316987,-9999.0
3,200404,4.785543442,10.04378660000009,61.65061951,98.99860156,213.78571759259253,1.334687233,647.0,1.545887113,1.465124965,0.966368079,0.024079472,1.5291753953118843,0.221052215,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,4,24.419150028180947,2346.847000000001
12,200504,4.637666702,9.835168500000009,58.08811569,98.86607813,214.01423611111113,2.29992795,521.0,1.545887113,1.465124965,0.966368079,0.024079472,1.5291753953118843,0.20595310600000002,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,4,21.661700421815528,-9999.0
50,200808,3.155600548,22.555596899999948,60.27297211,98.9611875,234.2620138888889,0.89179033,3658.25,2.374161243,1.684366941,0.966368079,0.024079472,2.3348723062276977,0.096315563,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,8,138.10894636900878,695.6655899999997
75,201012,4.060007572,-4.0037291999999525,73.25615692,99.13842969,70.75326388888887,0.927296579,42.0,1.323357701,1.404266715,0.966368079,0.024079472,1.3126646403896007,0.227723137,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,12,9.841762937537435,-9999.0
73,201010,4.214958191,12.99416500000001,58.06064224,98.92949219,137.64167824074073,0.783127487,399.0,1.5153588059999998,1.450241685,0.966368079,0.024079472,1.4993154323971438,0.135607675,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,10,39.76303087856103,-9999.0
69,201006,3.547533989,21.91753540000002,72.11174774,98.79657031,259.6728240740741,3.303500652,2271.75,2.047361135,1.5968031880000002,0.966368079,0.024079472,2.0169546247041663,0.22494983699999999,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,6,157.0117005466891,-9999.0
91,201205,3.4180994030000003,19.125329600000047,60.59756851,98.99672656,272.8670833333333,1.559659243,1284.666667,1.7574743030000002,1.5195269580000001,0.966368079,0.024079472,1.7349564729203804,0.155119702,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,5,107.45255893040016,-9999.0
97,201211,3.170140028,3.9287353999999937,67.33831787,99.61097656,97.1913425925926,0.601911306,168.66666669999995,1.392930746,1.421828151,0.966368079,0.024079472,1.3803206803428731,0.200988427,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,11,9.42545953905162,-9999.0
40,200708,2.831757784,23.2260986,72.4085083,98.98982031,214.55523148148143,7.044959545,4459.0,2.374161243,1.684366941,0.966368079,0.024079472,2.3348723062276977,0.21487933399999998,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,8,148.25342712699504,-9999.0
81,201107,2.637377739,25.75887450000005,67.24739838,98.89796875,279.82569444444437,1.763855696,3088.75,2.402871609,1.692373395,0.966368079,0.024079472,2.3628098786514165,0.12994824300000002,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,7,180.76997108256325,-9999.0
100,201302,4.444502831,-3.2326721000000016,70.41633606,98.97278906,117.47299768518518,2.223322392,31.5,1.268405914,1.3915847540000001,0.966368079,0.024079472,1.2592556126239889,0.26553598,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,2,10.545721646984838,-9999.0
64,201001,4.1140251160000005,-4.415533399999958,77.33123016,99.22591406,79.78762152777777,1.0277260540000002,43.75,1.2604736090000002,1.389413953,0.966368079,0.024079472,1.2515378145372005,0.254162967,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,1,6.479611063362317,-9999.0
42,200710,4.053847313,15.527490199999988,67.73439789,99.09914844,123.6886574074074,1.855064034,506.33333330000005,1.5153588059999998,1.450241685,0.966368079,0.024079472,1.4993154323971438,0.183305293,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,10,49.257841943837185,-9999.0
82,201108,2.793092966,22.4536377,69.02893066,98.74075781,232.4890509259259,2.739007473,4933.5,2.374161243,1.684366941,0.966368079,0.024079472,2.3348723062276977,0.15416970800000002,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,8,151.7942901317792,-9999.0
109,201311,4.880269527,3.677484100000015,65.53488922,99.54149219,79.99702546296297,1.84928143,165.0,1.392930746,1.421828151,0.966368079,0.024079472,1.3803206803428731,0.23223789,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,11,17.33605743564632,-9999.0
17,200509,3.336199045,20.203424100000067,67.19338226,99.30483594,189.93384259259255,2.862340927,1045.5,1.898180962,1.556786895,0.966368079,0.024079472,1.871828096290432,0.164936945,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,9,103.14990010852136,-9999.0
102,201304,4.530822277,8.064019800000041,65.53701782,99.13605469,194.7530092592593,4.047081947,504.0,1.545887113,1.465124965,0.966368079,0.024079472,1.5291753953118843,0.253330946,211.9837494,26,43,30,0,0,0,0,0,0,0,0,1,0,0,4,26.151880672808005,-9999.0
