,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200501,2.668554068,10.05413210000006,59.87097549,90.609625,142.29052083333332,2.280467272,124.5,0.683109999,0.935134292,0.989638805,0.010315414,0.6856784604614882,0.26319709399999996,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,1,20.627432471341265,-9999.0
110,201307,2.270306587,28.233727999999985,47.62981796,90.3766875,279.39824074074073,2.79650259,330.25,0.805792451,0.93883568,0.989638805,0.010315414,0.8071279570028325,0.188614205,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,7,70.6175842511442,2042.7800999999995
104,201301,2.593048096,7.639367699999981,41.76538086,90.65664844,157.3863425925926,0.550880492,53.5,0.683109999,0.935134292,0.989638805,0.010315414,0.6856784604614882,0.168927491,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,1,15.034771512983765,1051.2588199999998
114,201312,2.711255789,9.137933300000043,44.05256653,90.61349219,145.77912037037038,0.7768808009999999,47.25,0.721222699,0.9355403179999999,0.989638805,0.010315414,0.7234004556710963,0.198583171,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,12,16.295686052227396,858.6437400000003
57,200901,2.434321642,10.690454100000068,42.00273895,90.71285938,161.69001157407405,0.967465401,81.75,0.683109999,0.935134292,0.989638805,0.010315414,0.6856784604614882,0.208394021,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,1,16.074062320919328,956.166865
29,200608,1.999723673,26.248620600000038,55.48342514,90.38964063,264.0796759259259,2.035293818,828.25,0.905124843,0.941931009,0.989638805,0.010315414,0.9054630763196052,0.188747257,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,8,82.75430990659795,1514.8642999999995
33,200701,2.803947926,6.858667000000025,52.22987747,90.53874219,148.72503472222226,1.132713556,45.75,0.683109999,0.935134292,0.989638805,0.010315414,0.6856784604614882,0.205281109,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,1,16.57195402103276,-9999.0
85,201106,3.281704187,29.820245400000033,13.24838161,90.08408594,361.40761574074065,0.03122995,34.0,0.7414387459999999,0.9381572009999999,0.989638805,0.010315414,0.7434340344975348,0.08729939199999999,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,6,10.108310116463118,4097.501
26,200605,3.049679995,25.460199000000053,15.54047203,90.15942969,348.73828703703697,0.0374646,-6.0,0.733124793,0.938142776,0.989638805,0.010315414,0.7352060751859416,0.091137469,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,5,8.803076110773638,3747.6865
88,201109,2.329339981,26.793573000000038,36.17882156,90.37580469,249.98638888888888,1.294408321,286.5,0.901337266,0.940895557,0.989638805,0.010315414,0.9017040620274228,0.144407079,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,9,78.20158840123209,-9999.0
35,200703,2.922664404,16.09978639999997,23.96884346,90.46153125,264.21898148148153,0.57814461,25.5,0.730605185,0.935717583,0.989638805,0.010315414,0.7326875564659283,0.125444651,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,3,11.368935655393527,2333.695
25,200604,2.864391804,19.51033940000002,20.47744751,90.25759375,311.17805555555555,0.053976253,55.0,0.7329378129999999,0.9379185440000001,0.989638805,0.010315414,0.7350187194762706,0.09394510800000001,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,4,7.762578713767938,3159.1811
21,200511,2.554825783,15.797509800000055,24.01701355,90.57174219,175.53210648148146,0.002681925,173.25,0.739895284,0.937751472,0.989638805,0.010315414,0.7419023793456851,0.091614649,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,11,11.622861031474216,931.62544
123,201409,2.274252415,25.158532700000023,56.35776138,90.25030469,224.1596990740741,4.763423443,474.5,0.901337266,0.940895557,0.989638805,0.010315414,0.9017040620274228,0.232121944,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,9,59.1210941576321,-9999.0
51,200807,2.170800447,27.357019000000037,50.65159988,90.28588281,278.4400925925926,3.1881315710000004,830.25,0.805792451,0.93883568,0.989638805,0.010315414,0.8071279570028325,0.202234805,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,7,121.03728958857195,1555.24621
101,201210,2.457536936,22.07015380000001,25.13559532,90.37055469,228.3889583333333,0.045577694,164.0,0.8007649179999999,0.938424468,0.989638805,0.010315414,0.8021482734305927,0.093322426,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,10,20.173211242882246,1961.7771000000007
37,200705,2.97339201,24.653558300000054,18.47862625,90.13835938,344.7984490740741,0.040993854,37.5,0.733124793,0.938142776,0.989638805,0.010315414,0.7352060751859416,0.09253002,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,5,17.048757887707772,3600.9526
28,200607,2.449346542,29.068261700000054,43.41163635,90.37983594,285.2631481481482,2.587354898,325.5,0.805792451,0.93883568,0.989638805,0.010315414,0.8071279570028325,0.164047688,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,7,55.31777635660656,2569.0452
118,201404,3.264776468,19.86681520000002,18.65896797,90.21354688,313.59199074074075,0.087565355,143.0,0.7329378129999999,0.9379185440000001,0.989638805,0.010315414,0.7350187194762706,0.094082654,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,4,24.21925298940457,3193.2810000000004
54,200810,2.9663383960000003,21.52590330000004,23.94974518,90.50630469,226.79777777777767,0.162858695,234.25,0.8007649179999999,0.938424468,0.989638805,0.010315414,0.8021482734305927,0.10006598400000001,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,10,15.396230600596105,1747.3271999999995
97,201206,2.992301464,30.186120600000038,17.08233452,90.081125,352.0869675925925,0.190885007,111.75,0.7414387459999999,0.9381572009999999,0.989638805,0.010315414,0.7434340344975348,0.092127189,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,6,24.438087077478862,3561.3597000000004
73,201006,3.166558743,29.066735800000004,15.90996361,90.17883594,358.99134259259256,0.000965992,118.5,0.7414387459999999,0.9381572009999999,0.989638805,0.010315414,0.7434340344975348,0.090021849,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,6,19.08282073661924,4015.2250000000013
32,200611,2.618700981,15.993402100000026,27.27626991,90.46590625,180.2470601851852,0.007545135,158.25,0.739895284,0.937751472,0.989638805,0.010315414,0.7419023793456851,0.094344452,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,11,8.056672329749432,1171.8886
43,200711,2.282268286,17.415856899999994,30.67629623,90.48627344,162.23277777777778,0.546497047,148.0,0.739895284,0.937751472,0.989638805,0.010315414,0.7419023793456851,0.101212211,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,11,7.631887421734723,-9999.0
96,201205,3.557335615,25.42348630000004,14.51030159,90.10746094,357.15615740740736,0.16142237199999998,111.6666667,0.733124793,0.938142776,0.989638805,0.010315414,0.7352060751859416,0.095703527,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,5,24.14223428698904,3760.526200000001
46,200802,2.899789333,11.140191700000004,41.59043503,90.45789063,204.2423611111111,0.765751719,45.75,0.722417593,0.935168505,0.989638805,0.010315414,0.7245791337363324,0.17525820399999995,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,2,19.130997021168085,-9999.0
70,201003,3.148530245,13.053857399999973,35.6713028,90.33647656,268.5366898148148,0.415512085,202.5,0.730605185,0.935717583,0.989638805,0.010315414,0.7326875564659283,0.172694474,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,3,34.658073484475764,2338.1175
72,201005,3.283807039,22.740289300000033,14.22797585,90.10557813,358.68386574074066,0.008961278,159.75,0.733124793,0.938142776,0.989638805,0.010315414,0.7352060751859416,0.09361138199999999,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,5,27.494144535144372,3953.4926
68,200912,2.862161398,8.857873499999982,46.25525665,90.38632813,141.0668518518518,0.347917408,58.75,0.721222699,0.9355403179999999,0.989638805,0.010315414,0.7234004556710963,0.13224934,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,12,10.137660787566382,-9999.0
41,200709,2.640821457,26.413873300000034,38.92156219,90.30150781,259.2185648148148,0.881919742,387.25,0.901337266,0.940895557,0.989638805,0.010315414,0.9017040620274228,0.12475460000000001,979.5560913,8,80,11,0,0,0,0,0,0,0,0,0,1,0,9,47.04880483704836,2105.11904
