,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200203,3.516330481,-8.108740199999943,73.16373444,96.42744531,170.15145833333332,2.407142401,45.75,4.44e-16,1.296028137,0.0,1.0,1.296028137,0.22688765800000002,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,3,12.077762910129604,-9999.0
28,200509,3.506645679,16.883294699999965,71.10125732,96.40971094,174.0867361111111,2.881462812,1974.0,0.0,3.564789057,0.0,1.0,3.564789057,0.21831932699999998,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,9,72.70535706721351,-9999.0
52,200810,3.614689827,7.790856899999994,72.56476593,96.64389844,98.70739583333332,1.897541046,328.5,0.0,1.922628403,0.0,1.0,1.922628403,0.22678183,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,10,128.4587737679287,-9999.0
18,200308,2.77194047,20.234185800000034,73.81217957,96.5290625,232.58460648148147,1.67658937,3760.0,0.0,4.938803196,0.0,1.0,4.938803196,0.182266906,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,8,82.0484663166288,-9999.0
46,200804,3.708722353,3.678826899999992,68.028862,96.16321094,200.83402777777766,3.184908628,308.0,0.0,1.7605140209999999,0.0,1.0,1.7605140209999999,0.28799057,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,4,134.2353598026393,-9999.0
12,200205,3.468962908,8.000604199999998,66.03971863,96.31832031,248.6271759259259,2.576080322,792.25,-4.44e-16,2.921720028,0.0,1.0,2.921720028,0.24788996600000002,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,5,44.60879873833064,-9999.0
5,200106,3.171416044,16.934808300000046,73.98224640000002,96.25124219,245.3606018518518,2.91794014,3553.25,4.44e-16,4.810094833,0.0,1.0,4.810094833,0.231706351,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,6,76.6146468264147,-9999.0
53,200811,3.4701602460000003,-0.29810179999998354,79.52581024,96.13557813,55.75820601851851,2.133152485,156.0,0.0,1.439063072,0.0,1.0,1.439063072,0.238408387,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,11,85.78192387287359,-9999.0
60,200906,2.942089319,15.827630600000074,70.63161469,96.01029688,244.5718055555556,2.883122444,3547.0,4.44e-16,4.810094833,0.0,1.0,4.810094833,0.219436362,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,6,115.56788078857643,506.2319
33,200701,3.636002302,-7.885687299999972,75.01824188,96.11069531,62.68607060185185,1.059690714,117.0,4.44e-16,1.2634006740000001,0.0,1.0,1.2634006740000001,0.23987212800000002,531.3023682,4,69,25,0,0,0,0,0,1,0,0,0,0,0,1,6.325220923414421,-9999.0
