,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
128,201211,2.463205576,11.803308100000038,65.74145508,98.79435938,109.15247685185184,5.4665946960000005,519.0,1.888924718,1.710540056,0.193520814,0.791326523,1.7191419639787855,0.325316638,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,11,18.577329387023862,-9999.0
11,200112,2.807294369,8.132653800000012,74.27606964,98.87649219,71.9412962962963,6.707885742,372.75,1.890108824,1.7154406309999999,0.193520814,0.791326523,1.7232490681112187,0.396349519,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,12,14.966303421443955,-9999.0
118,201111,2.22089529,10.453393600000027,61.67985916,98.75296094,124.04405092592592,1.634981871,676.5,1.888924718,1.710540056,0.193520814,0.791326523,1.7191419639787855,0.27755397600000004,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,11,22.46630662227618,-9999.0
15,200205,2.2223105430000003,17.121728500000017,50.68849564,98.40758594,325.4624305555556,0.948656678,1820.75,2.029653788,2.466760397,0.193520814,0.791326523,2.344793181224053,0.197830588,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,5,94.05467293631494,2819.378700000001
123,201205,2.262855768,18.29836430000006,45.46715164,98.37547656,333.21993055555555,0.056636468,1994.666667,2.029653788,2.466760397,0.193520814,0.791326523,2.344793181224053,0.196276277,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,5,118.07629431402736,2504.26182
134,201305,2.355685472,19.449304200000032,42.29795074,98.42698438,309.49907407407414,0.433422148,1426.75,2.029653788,2.466760397,0.193520814,0.791326523,2.344793181224053,0.146254599,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,5,53.577760253330574,2763.4008
32,200312,2.667639494,8.498712199999998,74.57569885,98.84401563,72.45040509259259,6.250703335,328.25,1.890108824,1.7154406309999999,0.193520814,0.791326523,1.7232490681112187,0.37513324600000003,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,12,18.59190693451881,-9999.0
1,200102,3.015229702,7.675103800000045,69.80513,98.57751563,125.95488425925926,5.085038662,1135.0,1.961669683,2.059846163,0.193520814,0.791326523,2.009634815934964,0.382654279,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,2,102.76283644177643,2947.0797
116,201109,1.907001138,23.38756710000001,39.93332291,98.28455469,250.13634259259254,0.022450384,511.75,1.912974358,1.916354179,0.193520814,0.791326523,1.8866622442258767,0.124277115,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,9,19.01343045804552,2868.8076
45,200501,2.300917149,7.600427200000013,78.2546463,98.7309375,94.6876909722222,5.383101462999999,1103.5,1.91158247,1.8402084109999999,0.193520814,0.791326523,1.8261367190945152,0.387020439,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,1,21.218911799486662,-9999.0
