,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201307,3.537801027,21.640039100000024,61.30843353,101.0292813,336.7212037037037,0.015465449,4625.0,1.836826444,2.381756783,0.503364742,0.49663528799999995,2.107458134953996,0.130032137,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,7,29.134007322605623,460.3613
9,201310,2.277277231,17.32659300000006,44.82443237,101.3353438,194.31789351851847,0.004461227,532.0,1.447779894,2.278617144,0.503364742,0.49663528799999995,1.8604030343682747,0.131118014,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,10,33.122810142944196,504.94200000000006
18,201407,3.30285573,22.71770630000003,56.38358688,101.1502969,320.8983564814815,0.08428111699999999,4416.5,1.836826444,2.381756783,0.503364742,0.49663528799999995,2.107458134953996,0.130519301,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,7,243.75154321862374,-9999.0
21,201410,2.135377169,19.96019900000005,51.86820221,101.2600156,178.02538194444443,0.37766856,751.3333332999997,1.447779894,2.278617144,0.503364742,0.49663528799999995,1.8604030343682747,0.135381356,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,10,118.5854842471521,-9999.0
13,201402,2.293485165,11.394738800000026,69.91660309,101.5977188,122.03353009259258,4.249245167,282.0,1.664920807,2.324873209,0.503364742,0.49663528799999995,1.992676508181186,0.307967573,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,2,54.6898479608341,-9999.0
5,201306,3.35985899,21.470819100000032,55.64069748,101.0387656,326.58365740740743,0.249348149,3624.75,1.813949585,2.369646311,0.503364742,0.49663528799999995,2.0899282429761543,0.13853806300000002,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,6,28.76463775638976,454.827
12,201401,1.793308616,11.09285890000001,45.3878746,101.9660625,117.68373842592592,0.15420758699999998,131.75,1.44702065,2.273794413,0.503364742,0.49663528799999995,1.8576257193089678,0.161421984,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,1,36.20790548328794,-9999.0
22,201411,1.667245269,13.758325200000002,63.40138626,101.7325703,113.39199074074072,1.733128905,491.75,1.367175341,2.255634785,0.503364742,0.49663528799999995,1.80841569386252,0.23825289300000002,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,11,50.9066482013143,-9999.0
11,201312,1.933362365,8.070916699999998,42.06289673,101.99373440000001,113.49085648148147,0.353731662,76.5,1.366122723,2.254922152,0.503364742,0.49663528799999995,1.807531924379332,0.21929784100000002,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,12,41.55663439957361,-9999.0
4,201305,3.530928373,19.473138399999982,49.65468597,101.3016328,318.8354861111111,0.147917002,1400.25,1.827548265,2.370990753,0.503364742,0.49663528799999995,2.0974410363657645,0.135137573,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,5,28.753373022899986,457.1227
