,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
41,200703,4.120537758,-0.14517819999991846,67.66913605,96.03276563,153.864375,1.871011257,200.75,4.44e-16,1.075054765,0.0,1.0,1.075054765,0.274731964,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,3,11.968302127341216,177.55019999999996
29,200504,3.627999544,7.312249800000018,57.30961609,95.84388281,227.2342361111111,2.221303463,509.0,0.0,1.493662953,0.0,1.0,1.493662953,0.257754028,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,4,18.245284335836608,2385.0390399999997
36,200608,2.925455093,19.315118400000017,73.01049805,96.08159375,209.18090277777776,4.550446987,3190.0,0.0,4.3823633189999995,0.0,1.0,4.3823633189999995,0.215558738,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,8,105.2089021358099,-9999.0
28,200409,3.9116714,17.13671260000007,70.07989502,96.13849219,173.34711805555554,2.4000086780000003,1841.0,0.0,3.043444395,0.0,1.0,3.043444395,0.211270139,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,9,69.86619711226878,-9999.0
26,200407,2.893085718,18.31862789999997,74.08402252,95.90027344,234.2336574074074,2.260812283,4158.25,4.44e-16,4.682604313,0.0,1.0,4.682604313,0.206845015,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,7,97.29073187168171,-9999.0
62,200812,3.856730938,-11.288549799999998,84.51216125,95.64180469,52.601840277777775,1.9424721,137.0,-4.44e-16,1.055059195,0.0,1.0,1.055059195,0.235331878,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,12,5.4909088198185305,258.97831
89,201209,3.3544819360000004,13.932336399999995,64.74996185,95.93991406,180.74747685185184,1.780034184,1346.5,0.0,3.043444395,0.0,1.0,3.043444395,0.16056731300000002,476.47976680000005,7,58,30,0,0,0,0,1,0,0,0,0,0,0,9,48.45695296075062,-9999.0
64,200902,3.82819581,-8.329595900000013,79.48397064,95.91515625,111.30765046296295,0.886184037,90.5,4.44e-16,0.9566178320000001,0.0,1.0,0.9566178320000001,0.239491001,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,2,5.7323236889774725,268.40483000000006
25,200406,3.58562541,15.228723100000026,70.28687286,95.85585938,243.19416666666663,2.813763857,3528.25,4.44e-16,4.164064884,0.0,1.0,4.164064884,0.24897578399999998,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,6,63.911091904913384,-9999.0
54,200804,4.079916000000001,4.100610399999994,67.37055969,95.74164844,194.2455092592593,3.749983311,334.5,0.0,1.493662953,0.0,1.0,1.493662953,0.297653317,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,4,10.023534168817623,146.81848
92,201308,3.077579975,19.39971310000004,69.85765076,96.06607813,217.18967592592583,2.398452282,3423.75,0.0,4.3823633189999995,0.0,1.0,4.3823633189999995,0.165766567,476.47976680000005,7,58,30,0,0,0,0,1,0,0,0,0,0,0,8,99.17611222267159,-9999.0
81,201007,3.097807169,20.756860399999994,73.95178223,95.802875,248.9082407407407,4.023451328,3887.75,4.44e-16,4.682604313,0.0,1.0,4.682604313,0.244536683,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,7,5.508407961009123,234.14361000000008
43,200705,4.174480438,14.165307600000062,60.27319336,96.14507031,240.04756944444443,1.631249905,1643.5,-4.44e-16,2.416655779,0.0,1.0,2.416655779,0.207407206,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,5,11.353141519270773,164.30200000000005
37,200609,3.342161417,13.087945600000069,74.08413696,95.80675781,155.6625347222222,2.075267076,1410.0,0.0,3.043444395,0.0,1.0,3.043444395,0.204691559,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,9,53.21026788460047,-9999.0
57,200807,3.2292587760000004,19.73015750000002,68.43310547,95.70379688,258.1598611111111,3.29239893,4568.5,4.44e-16,4.682604313,0.0,1.0,4.682604313,0.21175858399999997,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,7,11.746734939686279,169.10691
21,200402,3.376342535,-6.746069299999987,78.67339325,96.15588281,108.20047453703705,1.719827056,88.25,4.44e-16,0.957165956,0.0,1.0,0.957165956,0.21326752,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,2,2.664052872260216,795.4284099999999
77,201003,3.247495413,2.202142299999992,63.20579910000001,95.88642188,178.84034722222222,0.733822405,317.25,4.44e-16,1.075054765,0.0,1.0,1.075054765,0.257044137,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,3,6.603324260571733,300.88819
69,200907,3.371456385,17.288354500000025,64.26309967,95.78727344,233.1218287037037,1.163657665,4482.5,4.44e-16,4.682604313,0.0,1.0,4.682604313,0.14242856199999998,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,7,5.398112414436953,239.6799
97,201403,3.698333263,-7.075872800000013,74.01946259,95.871625,166.37149305555553,1.290967345,1.75,4.44e-16,1.075054765,0.0,1.0,1.075054765,0.22894820600000002,476.47976680000005,7,58,30,0,0,0,0,1,0,0,0,0,0,0,3,9.883493068297136,-9999.0
76,201002,3.065009356,-8.953588900000002,77.38263702,96.0776875,116.79465277777778,0.567954779,84.75,4.44e-16,0.9566178320000001,0.0,1.0,0.9566178320000001,0.220366836,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,2,5.847924505877218,260.3768
5,200008,3.052457333,18.783502199999987,78.08345032,96.03307031,212.4266435185185,3.59671402,2820.0,0.0,4.3823633189999995,0.0,1.0,4.3823633189999995,0.239200726,476.47976680000005,7,58,30,0,0,0,0,1,0,0,0,0,0,0,8,108.36645095182712,-9999.0
70,200908,3.37746954,17.780450400000007,73.62978363,95.85819531,197.14310185185184,3.469718933,3349.75,0.0,4.3823633189999995,0.0,1.0,4.3823633189999995,0.20711726,476.47976680000005,7,58,30,0,1,0,0,0,0,0,0,0,0,0,8,5.4889928110732376,238.66057000000004
