,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
57,201205,3.049821138,24.22524410000005,15.52652359,87.61622656,358.6264814814814,0.10084302,-74.66666667,0.653809369,4.44e-16,0.930721939,0.069278076,0.6085147236520465,0.06442453,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,5,14.48712897384316,3743.8549
64,201212,2.338247061,8.751733399999978,46.42013931,87.85524219000001,147.81697916666667,1.089027047,30.75,0.615147114,0.0,0.930721939,0.069278076,0.5725309147123341,0.142775536,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,12,11.027471812523501,955.3097
26,200904,3.301910162,17.109613000000028,21.24737549,87.68846094000001,323.99291666666664,0.224344224,-24.0,0.648946047,0.0,0.930721939,0.069278076,0.6039883231702251,0.07264813,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,4,7.310287739241946,3258.1329
29,200907,2.073022604,29.14443360000001,37.87571335,87.91142969,295.1062962962963,0.914013207,235.25,0.666618168,0.0,0.930721939,0.069278076,0.6204361538935877,0.08818612199999999,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,7,58.05677702841154,2400.008500000001
43,201010,2.322508812,19.843133500000018,37.90876389,87.98446094,217.3615740740741,0.202409923,130.3333333,0.662983954,0.0,0.930721939,0.069278076,0.6170537111927668,0.077296495,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,10,16.01789898391512,1973.7225
54,201201,2.262849569,9.911157199999991,36.84803772,88.14801563,167.54449074074068,0.12880022800000002,-10.75,0.61087656,0.0,0.930721939,0.069278076,0.5685562164128498,0.09196095900000001,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,1,7.8807551429161915,1171.1538999999998
35,201002,2.379318476,7.760034200000009,59.46019363,87.64222656,185.90260416666663,1.461709142,2.5,0.610833526,-4.44e-16,0.930721939,0.069278076,0.5685161637249269,0.267010808,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,2,25.391776164762557,-9999.0
44,201101,2.1858389380000003,7.813287399999979,37.90878677,87.94939844000002,170.13560185185185,0.08688782199999999,-12.75,0.61087656,0.0,0.930721939,0.069278076,0.5685562164128498,0.122660697,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,1,5.5177852235917,1317.6554000000006
22,200812,2.437213898,8.80376590000003,48.22280121,87.93160156,136.33582175925926,0.64351505,54.5,0.615147114,0.0,0.930721939,0.069278076,0.5725309147123341,0.14167396699999998,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,12,11.251913444877184,797.8811019999997
56,201203,2.673183441,13.811700400000007,25.66214371,87.79954688,272.5901157407407,0.468692631,-23.5,0.616941035,0.0,0.930721939,0.069278076,0.5742005563438668,0.090333305,1273.190796,18,63,17,1,0,0,0,0,0,0,0,0,0,0,3,11.284641403302286,2681.635200000001
