,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
13,200409,4.462486267,17.89052730000003,69.95174408,97.39446094,161.73964120370368,2.657080412,2629.5,0.0,3.59199357,0.0,0.873804033,3.1386984679760683,0.33132901800000003,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,9,119.36292396399686,-9999.0
9,200310,4.15594101,8.69378050000006,67.48448181,97.00778906,115.81379629629627,1.80907166,602.6666667000002,0.0,1.940672874,0.0,0.873804033,1.6957677840349008,0.328625053,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,10,21.595757874197588,1834.3437
10,200406,3.934472322,14.504113800000026,70.50400543,97.2163125,271.62976851851846,2.111549616,4442.5,4.44e-16,4.496977329,0.0,0.873804033,3.929476926389768,0.350238889,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,6,127.20815124788359,-9999.0
1,200207,3.037334919,21.812982199999965,75.62818909,97.36264844,264.7012037037037,4.475972176,4888.5,4.44e-16,5.0257525439999995,0.0,0.873804033,4.391522841807209,0.326731414,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,7,178.1641697423783,-9999.0
11,200407,3.009304285,18.620324700000022,74.20124817,97.26950781,253.53967592592602,2.878600597,5389.5,4.44e-16,5.0257525439999995,0.0,0.873804033,4.391522841807209,0.31427010899999996,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,7,187.61528027465096,-9999.0
6,200307,3.177091122,19.87307130000005,71.52649689,97.16807031,271.81402777777777,2.206697226,5639.0,4.44e-16,5.0257525439999995,0.0,0.873804033,4.391522841807209,0.29965183100000004,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,7,202.27833438201483,-9999.0
14,200410,4.322932243,9.32723390000001,71.44262695,97.04705469,94.01935763888888,3.644912243,528.0,0.0,1.940672874,0.0,0.873804033,1.6957677840349008,0.363492817,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,10,54.78808438271607,-9999.0
5,200306,2.619874001,14.998986800000068,77.10964203,97.14058594,270.6428472222222,2.628752947,4731.25,4.44e-16,4.496977329,0.0,0.873804033,3.929476926389768,0.346439451,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,6,139.2123459723756,2384.0286510000005
2,200208,3.752747536,19.634057600000066,74.30699158,97.43405469,221.19076388888888,4.286235332,4276.0,0.0,4.803151131,0.0,0.873804033,4.197012829376312,0.350460231,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,8,142.57311713678325,-9999.0
4,200210,4.0143013,4.6963440000000105,69.72580719,97.53066406,93.88548032407408,3.5550911430000003,440.33333330000005,0.0,1.940672874,0.0,0.873804033,1.6957677840349008,0.38441857700000004,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,10,41.92890570014645,-9999.0
0,200206,3.203625202,17.087365699999964,77.22034454,97.15960156,255.4398148148148,3.612666368,3635.0,4.44e-16,4.496977329,0.0,0.873804033,3.929476926389768,0.352380961,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,6,107.19444245397936,-9999.0
12,200408,3.614334345,16.57070310000006,71.94508362,97.29067969,204.110625,2.764282227,4644.75,0.0,4.803151131,0.0,0.873804033,4.197012829376312,0.332125992,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,8,143.34492032559703,-9999.0
7,200308,3.133662462,21.138909899999987,72.85513306,97.50039063,236.80497685185185,1.3768608569999998,4633.75,0.0,4.803151131,0.0,0.873804033,4.197012829376312,0.273487419,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,8,178.11332614458505,-9999.0
3,200209,3.818526745,17.107019000000037,71.25090027,97.17304688,164.83518518518517,4.1825590130000005,2294.0,0.0,3.59199357,0.0,0.873804033,3.1386984679760683,0.3633419570000001,373.6110229,5,86,7,0,0,0,0,1,0,0,0,0,0,0,9,107.29142465726112,-9999.0
