,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
25,200709,3.299960136,26.25045170000004,25.21749878,89.49885155999998,277.849074074074,0.024459494,657.0,1.745208025,1.938652992,0.279721677,0.642119229,1.733018879988441,0.043263819,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,3,12.17319970069717,2618.9168
48,200908,3.351044178,20.996575899999982,30.98379135,89.76764063,260.83916666666664,0.00076217,355.75,1.7174184319999999,1.877112508,0.279721677,0.642119229,1.6857292002929667,0.048551295,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,2,19.870640073556746,2228.2528
52,200912,1.873201013,23.0983215,78.1674118,89.35244531,251.794375,7.896190166,2108.75,1.856170654,2.175455332,0.279721677,0.642119229,1.9161128686428457,0.271069735,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,6,22.288320290807906,2501.0265
37,200809,3.408237457,26.264703400000034,19.79335785,89.45155469000002,303.212037037037,0.000831087,559.0,1.745208025,1.938652992,0.279721677,0.642119229,1.733018879988441,0.04277594,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,3,30.28311831018092,2080.3868
6,200602,1.8266229630000002,22.629296899999986,79.71623993,89.28021094,225.90240740740745,7.249839306,2202.75,1.883318424,2.227243423,0.279721677,0.642119229,1.9569608174583581,0.292147547,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,8,4.587261112808223,3046.343000000001
18,200702,2.328126669,22.56951290000001,76.08412933,89.22252344,229.9270601851852,6.7131791110000005,1891.75,1.883318424,2.227243423,0.279721677,0.642119229,1.9569608174583581,0.26733613,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,8,4.481546567058198,3043.0600000000004
20,200704,2.719928503,22.993554700000004,56.84010315,89.53858594,257.34057870370367,0.759859025,1386.333333,1.853504896,2.170693636,0.279721677,0.642119229,1.912309621780357,0.13806355,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,10,4.449391033594794,3023.7835
46,200906,2.865080833,20.231591800000047,40.50601959,89.76322655999998,215.07831018518522,0.06460560900000001,578.0,1.782806754,2.01356864,0.279721677,0.642119229,1.7916408376511852,0.05383388,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,12,42.13946691565519,1584.9065
5,200601,2.093330145,22.706048600000035,78.52410126,89.23794531,235.1807638888889,8.710715294,2144.75,1.8745418790000001,2.205287695,0.279721677,0.642119229,1.9404076324371984,0.29150173100000004,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,7,4.9263579106693385,3348.816199999999
31,200803,2.346535206,22.294122300000023,67.90447235,89.39105469,242.4397685185185,3.3725721839999996,1690.75,1.877348304,2.219002485,0.279721677,0.642119229,1.94999918072527,0.224058107,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,9,115.17747087760871,1490.8252000000002
33,200805,2.8543841839999997,21.779595900000004,43.4466362,89.61381250000002,231.75828703703704,0.314528823,832.3333332999997,1.812119246,2.081249952,0.279721677,0.642119229,1.8432996489496225,0.066012263,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,11,66.52171455436766,1592.5081900000002
45,200905,2.760273695,21.68843989999999,45.66059494,89.61470313,235.5385185185185,0.070506439,866.5,1.812119246,2.081249952,0.279721677,0.642119229,1.8432996489496225,0.053897567,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,11,59.4369016300659,2039.4239000000007
35,200807,3.275596142,19.064172400000018,36.71670151,89.85875,227.0378703703704,0.0008188910000000001,467.25,1.737059355,1.919559121,0.279721677,0.642119229,1.7184789786255759,0.048701681,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,1,35.154839859532125,-9999.0
32,200804,2.894899845,23.21224369999999,44.05237961,89.47196875,257.71486111111113,0.18197444100000001,1282.25,1.853504896,2.170693636,0.279721677,0.642119229,1.912309621780357,0.06347828400000001,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,10,91.19673153363816,1721.2172000000005
0,200203,2.20664835,23.934075899999986,65.10416412,89.40457031,261.7389583333333,1.705961466,1760.75,1.877348185,2.219030142,0.279721677,0.642119229,1.9500169065299064,0.15681806199999998,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,9,110.505765810202,341.3171000000001
11,200607,3.0873985289999997,19.03710330000007,39.47818375,89.91702344000002,225.2339351851852,0.0009835710000000001,486.25,1.737059355,1.919559121,0.279721677,0.642119229,1.7184789786255759,0.049434405,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,1,4.5484534805079635,3036.7277
26,200710,2.76107645,26.87099610000001,39.34642792,89.32615625,277.2181712962963,1.250670791,1496.333333,1.783823371,2.019979477,0.279721677,0.642119229,1.7960417291749762,0.079422355,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,4,55.42990005144426,-9999.0
41,200901,2.029862881,22.67144170000001,79.42935944,89.25903125,232.5512962962963,8.99485302,2060.0,1.8745418790000001,2.205287695,0.279721677,0.642119229,1.9404076324371984,0.28602942800000003,1074.581421,7,81,11,1,0,0,0,0,0,0,0,0,0,0,7,121.02195829782663,1667.9646
